,mse,mae,r2
b0 l0,0.6462261449931381,0.756355201325243,0.053810809956992056
b0 l1,0.7258908351044019,0.8171525892360949,-0.06283236394647829
b0 l2,0.5580629843532215,0.6301675169384863,0.1828972454158979
b1 l0,0.9849560229875858,0.9451391241112193,-0.4421495460052949
b1 l1,0.6038550930292466,0.7156843537178199,0.11584951211970085
b1 l2,0.5586260495604687,0.5907100315216215,0.18207281852368007
b2 l0,0.6368619328750278,0.7165937795222302,0.06752167007627718
b2 l1,0.6579650768300704,0.6226388275765802,0.036622940829730055
b2 l2,0.6695412380397792,0.7762227568910584,0.01967339664355683
b3 l0,0.7301992312844072,0.8214606400034714,-0.06914061675167393
b3 l1,0.6418606903914026,0.7452885751195699,0.06020260636725583
b3 l2,0.5315895919304374,0.6038599416897085,0.22165896672395613
b4 l0,0.5373772089984823,0.637218595938792,0.2131848733306122
b4 l1,0.5403241912890345,0.609265046901326,0.2088699708646986
b4 l2,0.6488294072015193,0.7513464738222861,0.04999917438715007
b5 l0,0.6455071466498753,0.7293596747757981,0.05486355049577252
b5 l1,0.5651161778189754,0.6459151382973437,0.1725701246946385
b5 l2,0.7298099372580892,0.6190633090667684,-0.0685706215537012
b6 l0,0.8673780249358302,0.6203408653648254,-0.26999459435961315
b6 l1,0.5163193902106689,0.6152575733141042,0.24401723852859591
b6 l2,1.17712908201656,0.9952220128064705,-0.7235248392822995
b7 l0,0.6817775624569561,0.7879487917784629,0.0017572569468026211
b7 l1,0.5171517751171433,0.6026908200808508,0.2427984800389199
b7 l2,0.5509546531392433,0.6472402796548146,0.19330509753705116
b8 l0,0.6541945770718284,0.6969638465545153,0.04214361828908353
b8 l1,0.5379072862977909,0.622877569297518,0.21240874656078246
b8 l2,0.5070088939676595,0.5843331444934409,0.25764944912132126
b9 l0,0.5988288756441352,0.7105315100182589,0.1232087819255504
b9 l1,0.5462762942248529,0.5991125482183889,0.20015504111521532
b9 l2,0.5232579295499363,0.6261775430512556,0.2338579916946989
