,mse,mae,r2
b0 l0,0.5311982890806409,0.5840133695449032,0.22223190319422903
b0 l1,0.7901518984570098,0.7228036313619118,-0.15692190822753216
b0 l2,0.6713797571312277,0.6298452401220557,0.01698148003898392
b1 l0,0.5012433243869229,0.5760885206075116,0.2660912610999927
b1 l1,0.5328806484723566,0.5741582206761631,0.21976863196550833
b1 l2,0.5191047857364806,0.5652814729458034,0.23993892762004365
b2 l0,0.5123243647390141,0.566935653075449,0.24986666128023394
b2 l1,0.5345255203923819,0.5727569547991047,0.21736024901506334
b2 l2,0.5268590717813557,0.5684650985285502,0.22858528356059427
b3 l0,0.5362928276196618,0.5860755651050011,0.21477259915457247
b3 l1,0.5034077732503073,0.5783906590478668,0.2629221257550325
b3 l2,0.5576380262430445,0.5807804757448394,0.1835194591303786
b4 l0,0.5223041013885228,0.5691911946502373,0.23525456455464966
b4 l1,0.5510817211613768,0.5817604383742957,0.19311904751435505
b4 l2,0.5386455979177243,0.5777528089132775,0.21132772797452348
b5 l0,0.5107969673131837,0.5758930563455402,0.2521030408269568
b5 l1,0.5557955001738663,0.5798456286325259,0.18621724265791972
b5 l2,0.7064080968351509,0.5972414457110162,-0.034306194763090936
b6 l0,0.78835821992426,0.5883595631720666,-0.154295646119059
b6 l1,0.5032448847508616,0.562289375561275,0.26316062328186884
b6 l2,1.0014901720931368,0.8262852034760069,-0.4663584599767312
b7 l0,0.9142409391226354,0.5982763886149449,-0.33861017601166643
b7 l1,0.5713771711879444,0.5852573597783369,0.16340292480563934
b7 l2,0.7573986761535003,0.6539059147184882,-0.10896540705101998
b8 l0,0.5763322186342765,0.6237051523630535,0.15614786035769834
b8 l1,0.5676123330797925,0.5876283876596815,0.16891531260949877
b8 l2,0.5335737869643973,0.5709954690485162,0.21875375481537607
b9 l0,0.5653054801887442,0.6870866799814718,0.17229295259735877
b9 l1,0.568536575203411,0.5860559892963922,0.16756205893332698
b9 l2,0.5705409990078562,0.5876700014157246,0.16462722853266132
