,mse,mae,r2
b0 l0,0.45728771600699714,0.4531605284610979,-0.1099064493508084
b0 l1,0.4486149770158259,0.45599013017008977,-0.08885640010852836
b0 l2,0.42337721843411885,0.48869817281844125,-0.027600542939238526
b1 l0,0.43199626740353303,0.46682992615525953,-0.04852027837835293
b1 l1,0.4735854037335008,0.48839584424447885,-0.1494634024111332
b1 l2,0.46428309941599905,0.450784623985129,-0.12688530290307432
b2 l0,0.4167753655261308,0.48814826798282746,-0.01157684743255838
b2 l1,0.46428361830917114,0.45101216688810053,-0.12688656233528306
b2 l2,0.4503060146961398,0.47327955617744794,-0.09296080432009224
b3 l0,0.44511591743355433,0.46399850295302486,-0.08036365328616113
b3 l1,0.43441244132223306,0.46538644817622676,-0.05438469791390266
b3 l2,0.4389463823468503,0.4631250925762259,-0.0653892585177609
b4 l0,0.4345783831052776,0.4660332850359983,-0.05478746371926069
b4 l1,0.4972042688745776,0.5146753391792981,-0.20678996035004604
b4 l2,0.431990614769949,0.4657012576166829,-0.04850655858171016
b5 l0,0.44203323718069626,0.46622328687098685,-0.07288152207168253
b5 l1,0.4475048301619427,0.45785216046118027,-0.08616190578969851
b5 l2,0.43341425741806144,0.47017228093348723,-0.05196195460788888
b6 l0,0.4549025250442665,0.4540745336463296,-0.10411723013542185
b6 l1,0.4431577398640092,0.4534823064360328,-0.07561086015978957
b6 l2,0.47347659228853395,0.46354528160248004,-0.14919930057698294
b7 l0,0.42988460888621866,0.4690768175924293,-0.04339496377847851
b7 l1,0.446910977915721,0.4633597886621983,-0.08472053657077794
b7 l2,0.5689014708655082,0.6717192859811513,-0.38080991344435566
b8 l0,0.4405934960975752,0.46001119247750843,-0.06938705270892598
b8 l1,0.42870729919506084,0.46971364962963946,-0.0405374550955222
b8 l2,0.4486977301413325,0.4615762198805997,-0.08905725446015134
b9 l0,0.5157319763472948,0.4428813234378762,-0.2517595086143589
b9 l1,0.4192934185623982,0.47552639903821164,-0.017688542995178302
b9 l2,0.43927688717066926,0.45873073237642,-0.06619144371245911
