,mse,mae,r2
b0 l0,0.4688612753937016,0.45686376320256755,-0.13799722842839768
b0 l1,0.48878738236880903,0.48578077417946525,-0.18636090378631498
b0 l2,0.4523553828652311,0.469788884770752,-0.09793493082370874
b1 l0,0.43772623863620524,0.46824046370535616,-0.0624277851910664
b1 l1,0.5100377144777611,0.46287207328949304,-0.23793867382685452
b1 l2,0.497511870639389,0.483504963206998,-0.20753655635655388
b2 l0,0.4327364549726491,0.4859518774643565,-0.05031682555846273
b2 l1,0.45281723470049573,0.4580451307468998,-0.09905591508079925
b2 l2,0.529835078763435,0.5262613925214507,-0.28598987120579467
b3 l0,0.504120909544285,0.48341541237331426,-0.22357769336457745
b3 l1,0.445132740941051,0.4761548993397462,-0.08040448648333132
b3 l2,0.43537518791569946,0.44914426613799746,-0.05672142950710923
b4 l0,0.4663171741778075,0.4753540504719125,-0.13182230999415978
b4 l1,0.7023384839527147,0.6229706632588199,-0.7046817259234217
b4 l2,0.47428099788603983,0.46609736952431574,-0.15115171462466748
b5 l0,0.5127964710850187,0.5022468176245901,-0.24463459336154303
b5 l1,0.4809728242815824,0.4671842592189088,-0.16739378939370653
b5 l2,0.5268271029748186,0.51960057648574,-0.27868905902472685
b6 l0,0.43444176081256974,0.44467143751248933,-0.05445586075138387
b6 l1,0.46238905157937726,0.4561620069968896,-0.12228816233782602
b6 l2,0.5399519576534298,0.52364044498002,-0.31054506640184143
b7 l0,0.43755803167471563,0.46838456825531094,-0.06201952145502454
b7 l1,0.45665616255444397,0.4568651694706506,-0.10837357360199262
b7 l2,0.5451081766223389,0.6567801697631425,-0.3230599896930886
b8 l0,0.47633567113798375,0.4750860632169861,-0.15613871736673612
b8 l1,0.45211441114705686,0.45091879684489955,-0.09735005601786861
b8 l2,0.5406874957200212,0.5143693493131792,-0.31233032853610854
b9 l0,0.42401687667932353,0.44130905468217463,-0.029153090245631175
b9 l1,0.41707275409821426,0.4552092054231607,-0.012298654475618287
b9 l2,0.45751682578988956,0.4524381290755562,-0.11046253344565837
