,mse,mae,r2
b0 l0,0.6090703951613103,0.7193641001852932,0.10821338885480358
b0 l1,1.7581730559467261,1.1896706367239303,-1.5742758207025762
b0 l2,1.4007741841261863,1.0879263761444669,-1.05098076111666
b0 l3,0.7403135615592606,0.6641401015919749,-0.08394978231196326
b0 l4,0.7836982071300301,0.8534940301637608,-0.14747256450045754
b0 l5,0.6415874102265638,0.6447908911630247,0.060602736785727696
b0 l6,0.8758000134313381,0.9031236213201513,-0.2823258727129532
b0 l7,0.7638830542716467,0.6533560254971403,-0.1184596816591863
b1 l0,0.7275115686046044,0.8196455134824873,-0.06520540398782249
b1 l1,1.5575311024974894,1.1335746026253304,-1.280500570515514
b1 l2,0.6101867745694342,0.6773526038218861,0.10657881226557475
b1 l3,1.552514405987127,1.1321388178046183,-1.2731552409515392
b1 l4,1.9886043186696245,1.248838684101409,-1.911667880008196
b1 l5,0.9775834427213697,0.9480444014080446,-0.43135478660927573
b1 l6,0.9094788460808477,0.9183792848185754,-0.331637630884811
b1 l7,1.23722151569587,1.0402296851435475,-0.8115107736046305
b2 l0,1.0649247600137968,0.9511838897418529,-0.5592378982823394
b2 l1,1.0073746938931798,0.9601464918362377,-0.47497443900963154
b2 l2,0.827138791776299,0.8777927987482194,-0.21107725137347821
b2 l3,0.7154843565335756,0.8058824755004194,-0.04759544169190977
b2 l4,0.8688919795822692,0.6307327896790916,-0.2722112913035155
b2 l5,1.2286924732866078,0.7351266726786969,-0.7990227494174509
b2 l6,0.9165189925246892,0.6236923899902439,-0.34194564846208375
b2 l7,0.9397482104945049,0.9298061666108283,-0.37595732549880556
b3 l0,0.6484111069457833,0.758002275530688,0.05061163982705241
b3 l1,0.9780218760381718,0.9480046659891667,-0.43199673040577324
b3 l2,0.6837813505235555,0.7220631635424875,-0.001176642621395274
b3 l3,0.6874025985889899,0.7540502680087807,-0.006478789246884498
b3 l4,0.7638682041908649,0.8430526413632292,-0.11843793851862183
b3 l5,1.167955282687847,0.6971589175792984,-0.7100927771107137
b3 l6,1.1092285570486287,0.6509772291405054,-0.6241064805224814
b3 l7,0.8039797079557143,0.8580396482530245,-0.17716826311586154
b4 l0,0.602195720768269,0.7202816719231551,0.11827912612984115
b4 l1,0.6492348894753571,0.7011580490299588,0.04940547673620854
b4 l2,0.6927368738460826,0.7720569557973499,-0.014289110175680353
b4 l3,2.156991425646961,1.28919141547168,-2.1582163392418643
b4 l4,0.7068146915625426,0.7929720179070656,-0.034901521242477695
b4 l5,0.7335838625027582,0.8223403484836889,-0.0740963145300726
b4 l6,0.9922268758228441,0.614388480788985,-0.4527953584788649
b4 l7,0.9945741334385659,0.9552424624729573,-0.4562321581185107
b5 l0,0.6042453603777782,0.6988714722458035,0.11527809180613346
b5 l1,0.8150346895847407,0.867514435858333,-0.1933547083634768
b5 l2,1.0517601861358212,0.9715350479090027,-0.5399626374601465
b5 l3,0.6102621246131079,0.6681645562253804,0.10646848649595719
b5 l4,1.616061728849525,1.1504508157913276,-1.366199743119139
b5 l5,0.7837820349106982,0.8539195560675633,-0.1475953031740751
b5 l6,0.6958737076959425,0.6915981753797923,-0.018881988849337006
b5 l7,0.6987914555506471,0.6887574015867876,-0.02315408693881027
