,mse,mae,r2
b0 l0,0.5031241661606956,0.6471650323045395,-0.22115844641988858
b0 l1,0.41288631542962667,0.5201136629250019,-0.002137534647929984
b0 l2,0.4230203421698823,0.474707358277336,-0.02673435027009119
b0 l3,0.9437386154587589,0.9125159127611697,-1.2905963557154716
b0 l4,0.5577202037021283,0.44404797624431164,-0.3536712869251162
b0 l5,0.498984505438189,0.643402789040697,-0.21111086374228183
b0 l6,0.6463988273020675,0.7520939722546617,-0.5689077186241025
b0 l7,1.5578099248171726,1.0719784025785788,-2.7810402989063054
b1 l0,0.6596333918863843,0.7571789554227082,-0.6010300085354678
b1 l1,0.6533211180595779,0.4914182832398794,-0.5857091652562807
b1 l2,1.2664994813667767,1.0530550394776652,-2.0739857933269534
b1 l3,0.412635558935374,0.5192275950165145,-0.001528910710646425
b1 l4,0.4122325403543621,0.5052750487861299,-0.0005507236598782939
b1 l5,0.6670106746750188,0.7651240727381583,-0.6189357896425749
b1 l6,0.5597461992122971,0.4441983929139906,-0.3585886844505237
b1 l7,0.624350522144022,0.46093582694123997,-0.5153931473037676
b2 l0,0.6913764000809687,0.5291364104971831,-0.678075090403413
b2 l1,0.41681706119815426,0.4863313601671363,-0.01167804913483228
b2 l2,0.46863258564875615,0.4494479432672838,-0.13744216382917407
b2 l3,0.6562844312874517,0.49353294209473847,-0.5929015746474249
b2 l4,0.5861948441911397,0.4477108762744439,-0.4227835460464957
b2 l5,0.7178774254569102,0.5531146910072665,-0.7423970871454311
b2 l6,0.6174133657905926,0.45428384372637626,-0.4985556196219427
b2 l7,1.1180084388664626,0.8400309093041087,-1.713575574611606
b3 l0,0.4126966177777281,0.5193434377673736,-0.0016771097559005188
b3 l1,0.5307431743437964,0.44272564088481536,-0.2881939565244882
b3 l2,0.43843712758233117,0.4626256653586618,-0.06415322018190084
b3 l3,0.9171893423177094,0.8999787332260819,-1.2261572543502908
b3 l4,0.5772625802805991,0.4463707940800837,-0.4011035905729907
b3 l5,0.5287797973194931,0.6687952165081708,-0.28342854353502567
b3 l6,0.41375734405889,0.4964145173397211,-0.00425165287010798
b3 l7,0.47750395289820446,0.44744460786902673,-0.15897431389587635
b4 l0,0.42919057116220755,0.4697553109503416,-0.041710429252383996
b4 l1,1.77829420571368,1.2402007934362091,-3.316188995845639
b4 l2,0.5598579086526345,0.444749199322989,-0.35885982015774687
b4 l3,0.44362958868731794,0.45913690754807784,-0.07675610861886017
b4 l4,0.48417125164471486,0.445207582326097,-0.1751568563510233
b4 l5,0.4610694364321631,0.451926468082264,-0.11908525678999449
b4 l6,1.0339008902813844,0.9544765832521318,-1.5094338333271398
b4 l7,0.5261152840935077,0.666797251893821,-0.27696136694054996
b5 l0,0.4668869377360202,0.44997699447405864,-0.1332052123239824
b5 l1,0.5533670648336387,0.44365161639508705,-0.3431055604996498
b5 l2,0.642039740872913,0.47896965053326707,-0.558327556569362
b5 l3,0.5681055572895299,0.4450087824279014,-0.3788781108172963
b5 l4,0.7398113055786624,0.5728170783772972,-0.7956339315964369
b5 l5,0.7880751348860373,0.8344390682580991,-0.9127775450010935
b5 l6,0.785527856843195,0.6109136858470965,-0.9065949159273725
b5 l7,0.676819079511108,0.7700091757339669,-0.6427422716545528
