,mse,mae,r2
b0 l0,0.413990033615664,0.5266300906016675,-0.004816425617592213
b0 l1,0.41434973962585187,0.5412771978536624,-0.005689486508149155
b0 l2,0.4139828193218255,0.5292079197922706,-0.004798915435318518
b0 l3,0.42542339470467855,0.5221027654412945,-0.03256692222235946
b0 l4,0.4852136108077252,0.4459188031780782,-0.17768681969153732
b0 l5,0.4365168676318318,0.46436274136285177,-0.059492458851813756
b0 l6,0.4224513357123953,0.49776381616639137,-0.02535328553823768
b0 l7,0.42913747113142076,0.5199772223569741,-0.041581547446536415
b1 l0,1.7303072865280993,1.2252083480130382,-3.1997174851879224
b1 l1,2.1599590432469324,1.3220535579775967,-4.242547281538369
b1 l2,2.8394881702983046,1.5580400187887995,-5.891867248455001
b1 l3,0.4202635908099875,0.48010666459508416,-0.02004329777403635
b1 l4,0.4426503180965089,0.46021392620718227,-0.07437927078492645
b1 l5,4.409844225525372,1.9992308478603686,-9.703358903408942
b1 l6,0.4934246820569825,0.4450059896442443,-0.1976163314991326
b1 l7,0.46985327672900457,0.4558940018471258,-0.14040496570468286
b2 l0,0.4328689684039119,0.4664371632709348,-0.050638455698166496
b2 l1,0.4134110183424701,0.4948637905806835,-0.0034110679762322516
b2 l2,0.925688074818212,0.7166624683868776,-1.2467849635220603
b2 l3,0.46708294568939324,0.4500587032117827,-0.13368095327209373
b2 l4,0.47366271908836616,0.4489636162673136,-0.14965105847097293
b2 l5,0.4369136383703332,0.463364289822576,-0.060455481443852266
b2 l6,0.4871827418121193,0.44569900906325066,-0.18246619846094259
b2 l7,0.482218856060077,0.44672547620663955,-0.17041809697651944
b3 l0,0.4511054578359122,0.45584264765734755,-0.09490117373230955
b3 l1,0.43945747380876243,0.4624474263093168,-0.0666297547959851
b3 l2,0.45846081806791283,0.45293364593644436,-0.11275374547878303
b3 l3,0.4288472343427282,0.47058214638751955,-0.04087709886343949
b3 l4,0.45020738480529726,0.5924223185325087,-0.09272141465771355
b3 l5,0.44836410577701874,0.460003648636767,-0.08824749766885631
b3 l6,0.5322423589121704,0.4427089456015525,-0.29183270421649965
b3 l7,0.511130714738829,0.45362420071087906,-0.24059155077158034
b4 l0,0.4737495195793651,0.45217002149633895,-0.1498617363907906
b4 l1,0.41938842376484947,0.5434255507671752,-0.017919134990614483
b4 l2,0.508427562687721,0.44381702023918795,-0.23403059190459308
b4 l3,0.43099591932699993,0.4680266781209431,-0.046092282298696885
b4 l4,0.44508930685975057,0.45730298204754477,-0.08029906539881604
b4 l5,0.47095823723251706,0.4474397421314331,-0.14308687196675196
b4 l6,0.4180794119227922,0.4899905612404084,-0.014741965268098456
b4 l7,0.47823955716653294,0.6160037233363371,-0.16075973671177213
b5 l0,0.43624119302367365,0.46430926666123135,-0.05882335488333479
b5 l1,0.46804300366714563,0.4496990910539851,-0.13601115918832218
b5 l2,0.4789892213807187,0.4470758270578669,-0.16257928514276365
b5 l3,0.47898826871496336,0.44713628640974007,-0.1625769728788895
b5 l4,1.7738953547229663,1.1670339869829174,-3.3055123191857927
b5 l5,0.6831500180519953,0.7746975289704721,-0.658108417017764
b5 l6,0.4524181562969395,0.46350810907652157,-0.09808729143664952
b5 l7,0.7115145886178772,0.7917780161189311,-0.7269535197881536
