,mse,mae,r2
b0 l0,0.4796396015228001,0.5847320994596024,-0.16415785611451228
b0 l1,0.40965331239526837,0.47801405609680225,0.0057094526928584965
b0 l2,0.4510999743644835,0.5138060730516406,-0.09488786451780307
b0 l3,0.7094736891349758,0.6920438315519486,-0.7219999480667685
b0 l4,0.44075371330900986,0.43328372484060923,-0.06977592411317257
b0 l5,0.6539548163613871,0.6308456699156936,-0.5872472468786389
b0 l6,0.4385866266718631,0.5169871684845627,-0.06451607708322449
b0 l7,0.8051409598231279,0.7206699051114724,-0.954198883248629
b1 l0,0.6757880008586119,0.6928487066200135,-0.6402396878191805
b1 l1,0.48865042743460313,0.48798613417968567,-0.18602849344721184
b1 l2,0.6968693394642438,0.724402272915835,-0.6914072850676949
b1 l3,0.42743075148678056,0.4562668650929012,-0.037439080735729435
b1 l4,0.5035239328411636,0.5632841844291775,-0.22212874061620203
b1 l5,0.4468002474887131,0.4729282330605466,-0.08445177707697704
b1 l6,0.47920555132143,0.4324624583517923,-0.1631043506277492
b1 l7,0.5612830900473454,0.44553207160195746,-0.36231895095464806
b2 l0,0.6260740969514884,0.5980349168481259,-0.5195765240440173
b2 l1,0.42166041917611474,0.46838046512729126,-0.023433611482303718
b2 l2,0.5780665780676504,0.5160921809412011,-0.40305501480302275
b2 l3,0.5949811734698199,0.5401799841807448,-0.4441092960965536
b2 l4,0.6601189590536394,0.5854904525911698,-0.6022085534901309
b2 l5,0.6600122225733018,0.5569421187183944,-0.6019494879089644
b2 l6,0.5786701427685744,0.4455272490519225,-0.4045199576184686
b2 l7,0.7897941120226949,0.5661467331519539,-0.916949762498914
b3 l0,0.3984781077794446,0.47478563680466573,0.03283336449224716
b3 l1,0.4005643742295996,0.4367355498486807,0.027769680279798648
b3 l2,0.43721505055352455,0.45892391299715196,-0.06118705439962313
b3 l3,0.6432143401321148,0.7075888377583739,-0.5611784866240206
b3 l4,0.5553199002434434,0.4461215497207282,-0.34784538739635495
b3 l5,0.5406101327395411,0.5868474974655218,-0.3121425568816987
b3 l6,0.735556244407236,0.6575215893793782,-0.7853062545755303
b3 l7,0.541378784725501,0.4505858813214369,-0.31400819150659687
b4 l0,0.4272716528169394,0.46626415231392493,-0.03705292420110462
b4 l1,0.8078462332647273,0.7582441297291049,-0.9607649910511893
b4 l2,0.5083414001128558,0.49960240861857597,-0.2338214623037136
b4 l3,0.39808544036807464,0.4508167722102502,0.03378642768872886
b4 l4,0.5198406422937504,0.48495264923883163,-0.26173186228267653
b4 l5,0.452814665380859,0.45963315605357674,-0.09904967895344363
b4 l6,0.4378109175698847,0.4581275990354918,-0.06263331377039405
b4 l7,0.43349316797449816,0.4531847885458455,-0.05215348246320883
b5 l0,0.47081578925806494,0.4594560169548362,-0.14274112918817505
b5 l1,0.4823114972147667,0.45420247895642296,-0.17064295107048744
b5 l2,0.566602802995497,0.5111737123725257,-0.37523069886120686
b5 l3,0.49549133275647456,0.43124300901384066,-0.2026324053179327
b5 l4,0.585312330209287,0.520158285820474,-0.42064155113647805
b5 l5,0.43463530186580557,0.5626466429520495,-0.05492561415975494
b5 l6,0.4388825855254055,0.44643587138244195,-0.06523441398314711
b5 l7,0.4508350065300162,0.4666054841462323,-0.09424474750842049
