,lags,params,mean_squared_error,max_depth,n_estimators
37,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 10}",0.5722609320219454,5,10
31,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 5}",0.573511593801354,3,5
32,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 10}",0.5758483778421303,3,10
2,[1 2],"{'max_depth': 3, 'n_estimators': 10}",0.5783510021900523,3,10
36,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 5}",0.5882771501798764,5,5
41,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 5}",0.5921652431904193,10,5
1,[1 2],"{'max_depth': 3, 'n_estimators': 5}",0.5968259444463144,3,5
16,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 5}",0.5997676676179093,3,5
7,[1 2],"{'max_depth': 5, 'n_estimators': 10}",0.6039545694458313,5,10
6,[1 2],"{'max_depth': 5, 'n_estimators': 5}",0.6064544506662998,5,5
11,[1 2],"{'max_depth': 10, 'n_estimators': 5}",0.606956464734982,10,5
12,[1 2],"{'max_depth': 10, 'n_estimators': 10}",0.6204289261111767,10,10
42,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 10}",0.6223160511581056,10,10
40,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 2}",0.630542639344831,10,2
30,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 2}",0.6308728342854942,3,2
35,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 2}",0.6355315770868183,5,2
33,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 50}",0.6487080842806897,3,50
34,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 100}",0.6499528130647833,3,100
17,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 10}",0.6623849474542248,3,10
26,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 5}",0.6634260625279914,10,5
21,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 5}",0.663945223142963,5,5
18,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 50}",0.6870465203093755,3,50
0,[1 2],"{'max_depth': 3, 'n_estimators': 2}",0.6935557449079621,3,2
10,[1 2],"{'max_depth': 10, 'n_estimators': 2}",0.6937919584176894,10,2
5,[1 2],"{'max_depth': 5, 'n_estimators': 2}",0.6939899358163574,5,2
25,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 2}",0.7012912131172508,10,2
20,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 2}",0.7048016640310608,5,2
3,[1 2],"{'max_depth': 3, 'n_estimators': 50}",0.7087878132454299,3,50
15,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 2}",0.7092598641678111,3,2
19,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 100}",0.7144214973299831,3,100
38,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 50}",0.7234510251235392,5,50
48,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 50}",0.7257081568880572,3,50
39,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 100}",0.7262290220632855,5,100
50,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 2}",0.7451001338290253,5,2
49,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 100}",0.749314406433076,3,100
4,[1 2],"{'max_depth': 3, 'n_estimators': 100}",0.753708961534609,3,100
51,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 5}",0.7544322133856005,5,5
8,[1 2],"{'max_depth': 5, 'n_estimators': 50}",0.7580833536245917,5,50
56,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 5}",0.763106858747186,10,5
55,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 2}",0.7652096544136341,10,2
9,[1 2],"{'max_depth': 5, 'n_estimators': 100}",0.7928289647031878,5,100
45,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 2}",0.803449440306479,3,2
13,[1 2],"{'max_depth': 10, 'n_estimators': 50}",0.8124467303264067,10,50
14,[1 2],"{'max_depth': 10, 'n_estimators': 100}",0.8184200301662664,10,100
46,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 5}",0.8353763803014939,3,5
47,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 10}",0.8406811999617787,3,10
52,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 10}",0.8420289986811414,5,10
22,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 10}",0.8528673626708764,5,10
57,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 10}",0.8689072350526619,10,10
54,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 100}",0.908382811878376,5,100
