,lags,params,mean_squared_error,max_depth,n_estimators
0,[1 2],"{'max_depth': 3, 'n_estimators': 10}",0.5515257187624828,3,10
14,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 100}",0.5587449819057405,5,100
17,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 100}",0.5607075515335878,10,100
26,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 100}",0.565014603586188,10,100
23,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 100}",0.5678203816164246,5,100
13,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 50}",0.5686446753211641,5,50
16,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 50}",0.5709118755658878,10,50
10,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 50}",0.5710921364520852,3,50
11,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 100}",0.5718380398592635,3,100
20,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 100}",0.5789455534001284,3,100
15,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 10}",0.5802986258472734,10,10
33,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 10}",0.5809699851701292,10,10
21,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 10}",0.5842745934050981,5,10
9,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 10}",0.59009576661413,3,10
30,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 10}",0.5909988011741039,5,10
27,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 10}",0.5914549213017006,3,10
24,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 10}",0.5957886724822501,10,10
35,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 100}",0.5962609056564233,10,100
32,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 100}",0.5966941204687093,5,100
34,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 50}",0.5997949794704669,10,50
31,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 50}",0.5999733543788817,5,50
12,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 10}",0.6034899280583085,5,10
18,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 10}",0.608431611778616,3,10
29,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 100}",0.6099672834453712,3,100
25,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 50}",0.611652557871532,10,50
28,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 50}",0.61636092829259,3,50
3,[1 2],"{'max_depth': 5, 'n_estimators': 10}",0.6172801084958827,5,10
22,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 50}",0.6211964374524713,5,50
6,[1 2],"{'max_depth': 10, 'n_estimators': 10}",0.6228285944733264,10,10
1,[1 2],"{'max_depth': 3, 'n_estimators': 50}",0.6250001518396241,3,50
2,[1 2],"{'max_depth': 3, 'n_estimators': 100}",0.6256598763210663,3,100
5,[1 2],"{'max_depth': 5, 'n_estimators': 100}",0.6518676392888446,5,100
4,[1 2],"{'max_depth': 5, 'n_estimators': 50}",0.6542503123794567,5,50
19,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 50}",0.6592786684948618,3,50
7,[1 2],"{'max_depth': 10, 'n_estimators': 50}",0.6611162200342926,10,50
8,[1 2],"{'max_depth': 10, 'n_estimators': 100}",0.6615209337918169,10,100
