,lags,params,mean_squared_error,max_depth,n_estimators
31,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 50}",0.19537624460760242,5,50
34,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 50}",0.20717537739120626,10,50
28,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 50}",0.21637954521366407,3,50
32,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 100}",0.22082037073333705,5,100
35,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 100}",0.2310833013740079,10,100
29,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 100}",0.24949869508399053,3,100
21,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 10}",0.31715815616572823,5,10
18,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 10}",0.31802710245560556,3,10
33,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 10}",0.3213397438734726,10,10
22,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 50}",0.3219734926254,5,50
27,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 10}",0.3306511495242768,3,10
25,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 50}",0.3410684001485652,10,50
30,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 10}",0.342104398168307,5,10
23,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 100}",0.3509875599584685,5,100
26,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 100}",0.3614601259659892,10,100
24,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 10}",0.3645116723731162,10,10
19,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 50}",0.36789871738351615,3,50
20,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 100}",0.384135743381768,3,100
0,[1 2],"{'max_depth': 3, 'n_estimators': 10}",0.3869847775483484,3,10
3,[1 2],"{'max_depth': 5, 'n_estimators': 10}",0.43824004649402704,5,10
6,[1 2],"{'max_depth': 10, 'n_estimators': 10}",0.4425727581293632,10,10
7,[1 2],"{'max_depth': 10, 'n_estimators': 50}",0.4738567586486767,10,50
4,[1 2],"{'max_depth': 5, 'n_estimators': 50}",0.4761080833067024,5,50
15,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 10}",0.47862003628105,10,10
12,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 10}",0.49769542625913543,5,10
1,[1 2],"{'max_depth': 3, 'n_estimators': 50}",0.519470342506544,3,50
8,[1 2],"{'max_depth': 10, 'n_estimators': 100}",0.5209583982258206,10,100
5,[1 2],"{'max_depth': 5, 'n_estimators': 100}",0.5229378111728177,5,100
2,[1 2],"{'max_depth': 3, 'n_estimators': 100}",0.5628149975430953,3,100
9,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 10}",0.565351387893258,3,10
16,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 50}",0.6003887759431344,10,50
11,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 100}",0.6042726007145963,3,100
13,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 50}",0.623244151665981,5,50
17,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 100}",0.6254287989844328,10,100
14,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 100}",0.6309342800576503,5,100
10,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 50}",0.6312244361268616,3,50
