,lags,params,mean_squared_error,alpha
0,[1 2],{'alpha': 1e-05},0.1808343266427901,1e-05
1,[1 2],{'alpha': 0.0001291549665014884},0.18083432672330577,0.0001291549665014884
2,[1 2],{'alpha': 0.0016681005372000592},0.18083432776320513,0.0016681005372000592
3,[1 2],{'alpha': 0.021544346900318846},0.1808343411939429,0.021544346900318846
4,[1 2],{'alpha': 0.2782559402207126},0.18083451464542952,0.2782559402207126
5,[1 2],{'alpha': 3.593813663804626},0.1808367526629636,3.593813663804626
6,[1 2],{'alpha': 46.41588833612782},0.1808652937311521,46.41588833612782
20,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 1e-05},0.18102992483451627,1e-05
21,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 0.0001291549665014884},0.18102992488020864,0.0001291549665014884
22,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 0.0016681005372000592},0.1810299254703482,0.0016681005372000592
23,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 0.021544346900318846},0.18102993309224494,0.021544346900318846
24,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 0.2782559402207126},0.1810300315246104,0.2782559402207126
25,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 3.593813663804626},0.18103130145830035,3.593813663804626
26,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 46.41588833612782},0.18104747755110856,46.41588833612782
7,[1 2],{'alpha': 599.4842503189421},0.18117800201041104,599.4842503189421
27,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 599.4842503189421},0.18122376937531892,599.4842503189421
10,[1 2 3 4 5 6],{'alpha': 1e-05},0.18140480039258358,1e-05
11,[1 2 3 4 5 6],{'alpha': 0.0001291549665014884},0.18140480042696763,0.0001291549665014884
12,[1 2 3 4 5 6],{'alpha': 0.0016681005372000592},0.1814048008710544,0.0016681005372000592
13,[1 2 3 4 5 6],{'alpha': 0.021544346900318846},0.18140480660661887,0.021544346900318846
14,[1 2 3 4 5 6],{'alpha': 0.2782559402207126},0.18140488067812002,0.2782559402207126
15,[1 2 3 4 5 6],{'alpha': 3.593813663804626},0.18140583632131715,3.593813663804626
16,[1 2 3 4 5 6],{'alpha': 46.41588833612782},0.18141800950301598,46.41588833612782
17,[1 2 3 4 5 6],{'alpha': 599.4842503189421},0.1815505702420971,599.4842503189421
39,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 100000.0},0.1816845386021219,100000.0
28,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 7742.636826811277},0.1817790199906693,7742.636826811277
29,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 100000.0},0.18178718957153434,100000.0
9,[1 2],{'alpha': 100000.0},0.1817900760767943,100000.0
19,[1 2 3 4 5 6],{'alpha': 100000.0},0.1817964112366572,100000.0
18,[1 2 3 4 5 6],{'alpha': 7742.636826811277},0.18192652223049655,7742.636826811277
8,[1 2],{'alpha': 7742.636826811277},0.18195507960563134,7742.636826811277
38,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 7742.636826811277},0.182223663780824,7742.636826811277
37,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 599.4842503189421},0.1945603267150572,599.4842503189421
36,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 46.41588833612782},0.20260354089014027,46.41588833612782
35,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 3.593813663804626},0.20352469288264927,3.593813663804626
34,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 0.2782559402207126},0.20359858446873222,0.2782559402207126
33,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 0.021544346900318846},0.2036043215471975,0.021544346900318846
32,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 0.0016681005372000592},0.20360476584403933,0.0016681005372000592
31,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 0.0001291549665014884},0.20360480024490407,0.0001291549665014884
30,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 1e-05},0.20360480290844152,1e-05
