,mse,mae,r2
th_gt,0.5142930030822754,0.6261038243770599,-1.8864134788513183
el_gt,0.7791028201580048,0.8371981024742127,-0.11635526418685913
th_vae,0.6267986088991165,0.608236414194107,-2.5178390026092528
el_vae,1.0766557574272155,0.9735614776611328,-0.54271080493927
th_gan,0.5078501135110856,0.608092975616455,-1.850253653526306
el_gan,0.7491033852100373,0.8139369904994964,-0.07336989641189576
th_vae_blended,0.3208141714334488,0.427176171541214,-0.8005346775054931
el_vae_blended,0.9265496969223023,0.9188453674316406,-0.3276278614997864
th_gan_blended,0.3176662981510162,0.4704392492771149,-0.7828675150871277
el_gan_blended,0.6794376075267792,0.7589281976222992,0.026452314853668214
