,mse,mae,r2
b0 l0,1.1729881693802657,1.0180147229334828,-0.7174618119601601
b0 l1,1.0324203616713927,0.6114323760344877,-0.5116457193234374
b0 l2,0.6517351403218136,0.5733436953824708,0.045744667990474386
b1 l0,0.7975964015063317,0.6651258788956244,-0.16782197527849507
b1 l1,0.7744893268889329,0.8023321650766966,-0.13398913767838216
b1 l2,0.6747063042453426,0.7475115823449245,0.012110827645961608
b2 l0,0.618881366692569,0.6858990760462009,0.09384839406370737
b2 l1,0.6161636148084032,0.5951320466097083,0.09782766273604493
b2 l2,0.7321677701918994,0.7945904834259836,-0.0720229053264696
b3 l0,0.6771373161856715,0.6902162249645797,0.008551396885342899
b3 l1,0.5877356693097961,0.567438474253315,0.1394511948916487
b3 l2,0.6349692982137977,0.5401132033897621,0.07029282143100257
b4 l0,0.5449560181169011,0.5891134015650507,0.20208815847806882
b4 l1,0.6458652938428119,0.5701749136518587,0.05433915976193049
b4 l2,0.640623279439961,0.7215132079976528,0.06201439450824364
b5 l0,0.6836484355957088,0.7214620153184933,-0.0009820316962598774
b5 l1,1.81500454454625,1.194671514230364,-1.6574871555944708
b5 l2,0.7324443741073124,0.662777825793484,-0.07242790230270657
b6 l0,1.2301466319694616,1.0105553446597002,-0.8011518945116007
b6 l1,0.5655336589328408,0.5947181719133285,0.1719588586230828
b6 l2,3.8536463681775244,1.780066136053803,-4.642418778733857
b7 l0,1.1426240280353652,0.6779721957559739,-0.6730033471826513
b7 l1,0.7628466050008705,0.7177435055395031,-0.11694213690548905
b7 l2,0.6584116569364019,0.7110983391097431,0.035969068694761686
b8 l0,1.1176893937330912,0.9664100803569801,-0.636494639484454
b8 l1,0.636254480407523,0.566717195089209,0.06841108775563176
b8 l2,0.5696077426369681,0.5308202927646941,0.16599368065861553
b9 l0,0.6558204413952538,0.7087485834242108,0.03976306581651523
b9 l1,0.6280417712809414,0.5382592279880464,0.08043594415728894
b9 l2,0.5519431438356639,0.5593607139936867,0.19185777260497006
