,mse,mae,r2
b0 l0,0.5718371909150963,0.4456455548543912,-0.3879353500184628
b0 l1,0.4523908312204871,0.457757910318348,-0.09802096934331117
b0 l2,0.4333434316019789,0.5051140544608829,-0.0517900496401873
b1 l0,0.43179089625375344,0.4674046284883884,-0.04802181153642371
b1 l1,0.48104731717167204,0.4943256290338795,-0.167574594904651
b1 l2,0.5188192057098867,0.4625476030702749,-0.2592526812061924
b2 l0,0.41654242709056116,0.4871835964954022,-0.011011470618595531
b2 l1,0.442026349039572,0.45904660819746784,-0.07286480351137525
b2 l2,0.4973394676487969,0.5227473695842983,-0.20711810822325072
b3 l0,0.47051460279531576,0.4871199719457706,-0.14201010409005632
b3 l1,0.44576610673573513,0.4583551367304812,-0.08194176106060724
b3 l2,0.44243335332602574,0.4599190229808617,-0.07385266447206962
b4 l0,0.42183909417349225,0.47557846382912616,-0.02386728272468619
b4 l1,0.6840358786203221,0.596484405121161,-0.6602585345993099
b4 l2,0.43377567481342694,0.4655379839563335,-0.05283916928911081
b5 l0,0.463210563510208,0.46146882169127995,-0.12428209604374207
b5 l1,0.6263293328338031,0.46295107056026685,-0.5201960201336135
b5 l2,0.5110469513282011,0.511356560997373,-0.24038824430516748
b6 l0,0.45226565056875645,0.45515602875604494,-0.09771713696857987
b6 l1,0.44234974207487954,0.4648676197357884,-0.07364972731973207
b6 l2,0.5400384285359834,0.48459406849447473,-0.31075494431211026
b7 l0,0.4191461738350413,0.48250553796828116,-0.017331157771815375
b7 l1,0.46409080456099105,0.4685137844441002,-0.12641857420628355
b7 l2,0.7861820223404222,0.789456351584579,-0.9081826745285768
b8 l0,0.41265288838318104,0.5157771111452379,-0.00157097190147093
b8 l1,0.4198100390624034,0.4813509080483714,-0.018942459085095287
b8 l2,0.4790144738807058,0.48092690124068466,-0.16264057677955335
b9 l0,0.5862207528945138,0.4476060165049671,-0.4228464303881536
b9 l1,0.41739153093434317,0.4854980410592468,-0.013072374070390191
b9 l2,0.4446080335056379,0.45772792380309113,-0.0791309421780686
