,mse,mae,r2
b0 e0,0.5864300785893517,0.6461782729947417,0.1413628102539738
b0 e1,0.9743866237898601,0.9223558405931079,-0.42667407918362454
b0 e2,0.7206823455094965,0.5944905771923295,-0.055206215438972084
b1 e0,0.9049723512115783,0.7003576338329512,-0.3250393266172975
b1 e1,0.7081554162192152,0.5543459864477773,-0.03686457889156314
b1 e2,0.6822017819650941,0.5041321631945076,0.00113612467613311
b2 e0,0.7253067109066844,0.7340776550935116,-0.06197710297351233
b2 e1,0.7102240953736702,0.5634074856018576,-0.03989349047116719
b2 e2,0.6541859404555139,0.5536792914457724,0.04215626382046378
b3 e0,0.6856369674679282,0.6905578878209435,-0.003893593501872017
b3 e1,0.7687537135030399,0.6298833262862537,-0.1255911868587729
b3 e2,0.6482414520847863,0.5155237476025518,0.05086004450203696
b4 e0,0.5377298690963624,0.5769810154557469,0.2126685166728709
b4 e1,0.6661630656345255,0.5653986497639378,0.0246196375790525
b4 e2,0.9162456260675528,0.717286150807397,-0.34154539169645015
b5 e0,0.5826068707042639,0.6749932902216621,0.1469606617184882
b5 e1,0.7849816834342691,0.652348779476049,-0.14935180045238594
b5 e2,1.193177710903654,0.7647318085143318,-0.74702286591838
b6 e0,1.040573019120501,0.639353710457719,-0.5235826494650551
b6 e1,0.637390535107977,0.5652474980079566,0.06674770306407196
b6 e2,1.549044051134034,1.1081165763313703,-1.2680740286343797
b7 e0,1.2157147098749634,0.6904841040245489,-0.7800210121058724
b7 e1,0.6497400091649197,0.5738820643916479,0.048665892314183834
b7 e2,0.6371005155818398,0.5639020125558535,0.06717234286340323
b8 e0,0.6704691178302039,0.6857407899941407,0.018314816780823917
b8 e1,0.6498011292344233,0.5651485640682026,0.04857640173954969
b8 e2,0.5873301926291058,0.5349179722536181,0.1400448843532347
b9 e0,0.6532738605668649,0.7507387504180507,0.04349170983697326
b9 e1,0.6522512812834673,0.5260007279660565,0.044988946479918024
b9 e2,0.5797128439507494,0.5316126371023288,0.15119802792703063
