,mse,mae,r2
b0 l0,0.5422832026699556,0.5970449644528312,0.20600163227122004
b0 l1,1.194664937769902,0.8565263143488904,-0.7492004286723601
b0 l2,0.8366599434247565,0.7178447080842545,-0.22501789867834132
b1 l0,0.5427705530214657,0.6519309706480665,0.20528806529790067
b1 l1,0.55214744905752,0.5793929450290691,0.19155863368295745
b1 l2,0.5338222166580122,0.5689453766290705,0.21839000987499346
b2 l0,0.5988064157210955,0.6895894453964334,0.12324166721896379
b2 l1,0.5520777694911971,0.5807659882125696,0.19166065687241274
b2 l2,0.5404999436684167,0.5754370303386277,0.20861263834606847
b3 l0,0.6773837887066367,0.6856657138770017,0.008190517591326607
b3 l1,0.4960254090267697,0.586887935097929,0.27373121059226946
b3 l2,0.5722738285725396,0.5849657516322099,0.16209006005844595
b4 l0,0.49240435120523374,0.5728619570504203,0.27903307866709715
b4 l1,0.5940723389698459,0.5976799041701351,0.1301731915492178
b4 l2,0.5814379300222633,0.587968163545685,0.14867219729419945
b5 l0,0.5881913176357387,0.6746237858256049,0.13878404528185895
b5 l1,7.965375369930604,2.493690771580829,-10.662716106515918
b5 l2,0.8107559947737177,0.6432816480742485,-0.18708994360728437
b6 l0,0.9927488357679852,0.6132835809410093,-0.45355960000879136
b6 l1,0.49415553969179815,0.5661241864354905,0.2764690294893397
b6 l2,1.3700857545491376,1.013062103604609,-1.006047481102884
b7 l0,1.4700701804828125,0.8735617030953717,-1.1524423364086895
b7 l1,0.7061406459583308,0.6289147231124096,-0.033914599451642546
b7 l2,1.124091802741097,0.8329126170814666,-0.6458688968408683
b8 l0,0.8180775284845245,0.7416387740091067,-0.19780996183213406
b8 l1,0.7039624986094446,0.651094036188609,-0.030725407104962077
b8 l2,0.53719189977815,0.5709294706902118,0.21345619875198718
b9 l0,56.393630275612914,6.349293569760379,-81.57023298652459
b9 l1,0.6139079991241629,0.5989508463595868,0.10113028240542132
b9 l2,0.5841512986964383,0.5946034771618234,0.14469934641529691
