,mse,mae,r2
b0 l0,0.46722300572735725,0.45265620644345245,-0.13402090016765
b0 l1,0.5010816531412768,0.49854936249961807,-0.21620095840133624
b0 l2,0.4557626729469977,0.4774063607163715,-0.10620493918864793
b1 l0,0.44934860675911137,0.4756295175823095,-0.09063703045350713
b1 l1,0.5526210227119605,0.47359641687745707,-0.3412948034349983
b1 l2,0.5095622229425906,0.4977523138209898,-0.23678458395515234
b2 l0,0.48956800563890907,0.5222090386200898,-0.18825559452842122
b2 l1,0.46536440532409373,0.46092663595292144,-0.1295097958844189
b2 l2,0.6023718975022975,0.5993826550797108,-0.46204770113539206
b3 l0,0.49683092953203445,0.4874120068590451,-0.20588380929988603
b3 l1,0.4395550834010043,0.4811844656988443,-0.06686666803934482
b3 l2,0.41549199195099235,0.4381218145681634,-0.008461905661520719
b4 l0,0.4729394994236579,0.4723462188971875,-0.14789569496117605
b4 l1,1.0286767380257715,0.7925995765300694,-1.4967540256744742
b4 l2,0.47907861707609095,0.4691137753544916,-0.16279626201610786
b5 l0,0.5371935470609971,0.5215593193173202,-0.303849986697466
b5 l1,0.5171962681823574,0.48815723032548486,-0.25531356636526237
b5 l2,0.534465821664123,0.5385542082998322,-0.29722938460370196
b6 l0,0.4660801988641696,0.47097416470980136,-0.1312471350665667
b6 l1,0.4542168063008598,0.44863418019608475,-0.10245288703346067
b6 l2,0.5899166566841046,0.5553079485508821,-0.43181694787343883
b7 l0,0.463719694227764,0.47777168665880276,-0.12551783329886068
b7 l1,0.4598036292832825,0.4533237308762112,-0.1160129513923236
b7 l2,0.8964214920229198,0.8617649867815499,-1.1757505406458129
