,mse,mae,r2
b0 e0,0.5303994709507761,0.4433710376467198,-0.28735973640611734
b0 e1,0.46929853128064375,0.4498223395581404,-0.13905851459888874
b0 e2,0.45091364619673135,0.5154025797079343,-0.09443561787341537
b1 e0,0.4350321786709649,0.4836835323197073,-0.05588889419161447
b1 e1,0.5368246019136086,0.5351728558525729,-0.30295450102354726
b1 e2,0.49609935298402374,0.43670392648536094,-0.2041081623703751
b2 e0,0.4280541459198292,0.4824119740948361,-0.03895215331019486
b2 e1,0.44741863714636104,0.4867100534715085,-0.0859527023045965
b2 e2,0.6872184010964347,0.6548120811370678,-0.6679829979902905
b3 e0,0.4687496295408645,0.4668596281496435,-0.13772624705765546
b3 e1,0.4394094817499924,0.4706696045506976,-0.06651327081077851
b3 e2,0.44488115245835724,0.46070426358570726,-0.07979384318426685
b4 e0,0.42740207551662895,0.44950203039534264,-0.03736947981906691
b4 e1,0.7283512708092134,0.6208231538901451,-0.7678186939349876
b4 e2,0.42501645907161467,0.48387319583574306,-0.03157922789382561
b5 e0,0.46345382191012413,0.4433024124606231,-0.12487252097201962
b5 e1,0.511016705252244,0.5396961339354561,-0.24031483250424368
b5 e2,0.4670664090064071,0.47162971834224143,-0.13364081624139135
b6 e0,0.472615326171197,0.44871050055130957,-0.147108877447784
b6 e1,0.44400118940834826,0.451926501642163,-0.0776580397716502
b6 e2,0.5380783307160792,0.4735928321976895,-0.30599749044768854
b7 e0,0.4145561139925519,0.48404308624546655,-0.006190388309275763
b7 e1,0.6596364941880613,0.6721305643478129,-0.6010375382908462
b7 e2,1.0579125831674216,0.9038900945511977,-1.5677138436164073
b8 e0,0.42743696110299656,0.47140988221981805,-0.03745415241346084
b8 e1,0.4629149776980218,0.48625835335547407,-0.12356466457161153
b8 e2,0.5540968116706806,0.5252865880031848,-0.3448767664439043
b9 e0,0.45820886394936305,0.45282127630844554,-0.11214221472619523
b9 e1,0.4220499112934464,0.4829799409808625,-0.024378967759906
b9 e2,0.4127741324562375,0.5199087546438675,-0.0018652496043711775
