,mse,mae,r2
b0 l0,0.7572197536812194,0.8344414357052574,-0.10870343295659568
b0 l1,10.646028456685217,3.1564175107114005,-14.587665588356472
b0 l2,0.8554545520142225,0.892906332547314,-0.2525365244972193
b0 l3,0.7017839368849638,0.6860350591273817,-0.0275356080392386
b0 l4,0.6947126487089319,0.7702733056545327,-0.01718199346687954
b0 l5,0.7307868377690802,0.66834370740485,-0.07000097640766167
b0 l6,0.7002226664500458,0.6873909588946637,-0.025249632425749846
b0 l7,0.7085066846432759,0.6810222531274811,-0.03737889789308424
b1 l0,0.7872948509844427,0.8552083275120448,-0.15273868621627873
b1 l1,0.6842861174701119,0.717636091551701,-0.001915710565369988
b1 l2,0.6821218843925435,0.7891688413348992,0.0012531088310512306
b1 l3,0.731722733568559,0.8135204493086746,-0.07137129312315604
b1 l4,0.7659171826421717,0.8401798170573108,-0.12143800478997036
b1 l5,1.4240657985786032,1.0951520620080306,-1.0850837976221857
b1 l6,0.735190836638219,0.8165484473172095,-0.07644920843173919
b1 l7,0.7272402678485771,0.8094574565510768,-0.06480817177338416
b2 l0,1.3627549525991411,1.0463084328989603,-0.9953138925392297
b2 l1,3.536140915207473,1.6891308964642984,-4.1775347289200555
b2 l2,0.6968909758859917,0.6904952749704226,-0.020371449113760987
b2 l3,0.6938272913388546,0.768705805504881,-0.015885673936352207
b2 l4,0.7138175288774907,0.67749361947086,-0.045154911666822395
b2 l5,0.9605254759705053,0.6181167907939132,-0.40637891110681923
b2 l6,0.6855231914107845,0.7488279042044814,-0.003727005263080896
b2 l7,0.6973743166803942,0.6900756623726116,-0.021079145387447706
b3 l0,0.7944356293802249,0.8588134717693724,-0.1631940467412749
b3 l1,0.754928789248902,0.8322778876861527,-0.10534905647797954
b3 l2,0.7122171573780116,0.7941613529496768,-0.04281168519015899
b3 l3,0.7173983392041003,0.6753438120381678,-0.050397850301978186
b3 l4,0.7117738644615329,0.7936728604016884,-0.042162626081602816
b3 l5,0.9551970336377166,0.6187125349324609,-0.3985771306092105
b3 l6,0.7143565868215456,0.6772173497057573,-0.04594418768640662
b3 l7,0.693925735787526,0.6942078301720189,-0.01602981399300929
b4 l0,0.7867616494320593,0.8514128714010406,-0.15195798498825175
b4 l1,0.7196817835279474,0.6740947442877864,-0.053741216013856175
b4 l2,1.4261096716127275,1.0957172517849176,-1.0880763886612397
b4 l3,0.6857337679959874,0.7496654838529421,-0.004035326568461173
b4 l4,0.7170433034274991,0.6756032281464577,-0.049878015231080264
b4 l5,0.8099907242786596,0.8681358662823564,-0.18596945246731278
b4 l6,0.780570659342245,0.8500833769226378,-0.14289328226145637
b4 l7,0.684292805648943,0.7178104863929611,-0.0019255032402099026
b5 l0,0.6947099139879533,0.7975521134555712,-0.017177989352456402
b5 l1,1.5555134309445011,1.128697952834457,-1.2775463430716285
b5 l2,4.064420975438477,1.8388701002575707,-4.951030023374836
b5 l3,0.6983087951725682,0.7761267725989984,-0.02244738691477255
b5 l4,0.6830268424964825,0.7281562079832368,-7.19096350429993e-05
b5 l5,0.7046142467266806,0.6838478433883082,-0.03167968143746536
b5 l6,0.7467799121663229,0.8260666205450937,-0.09341766146051644
b5 l7,0.7378545278458849,0.818793582246793,-0.08034932272738216
