,mse,mae,r2
b0 l0,0.504978422966773,0.443653774535283,-0.22565900813580075
b0 l1,0.4447948801172438,0.45866851885570964,-0.0795844471641014
b0 l2,0.41306539269993514,0.5221436078859255,-0.002572182267557954
b0 l3,0.43742281359519586,0.4710319784777408,-0.06169132672493571
b0 l4,0.46278520909854043,0.4523911556717086,-0.12324969655378393
b0 l5,0.567078490203624,0.6983834940231671,-0.37638526366076874
b0 l6,0.5924363944284546,0.715794237462972,-0.4379327324773794
b0 l7,0.42884143898727034,0.5225053732168145,-0.0408630326592232
b1 l0,1.6813617865125905,1.2081957877348444,-3.0809193538751583
b1 l1,0.5172180931157091,0.4431597500833563,-0.25536653877942483
b1 l2,0.40201133336797673,0.5011842356180196,0.02425769160523905
b1 l3,0.5810827685149097,0.7057429750729818,-0.41037576520304486
b1 l4,0.8612251517452246,0.6683079942075556,-1.0903236995120316
b1 l5,0.43132441225846924,0.46792175482263915,-0.04688958432637347
b1 l6,2.5516360582639948,1.4627586775649069,-5.193206636278742
b1 l7,0.4886576840624543,0.445607544957956,-0.1860461063805372
b2 l0,0.42885409510992967,0.4696213187756499,-0.040893750983096
b2 l1,0.47132106754970676,0.4541417139999471,-0.14396751602293878
b2 l2,0.5464425299167254,0.682892288018102,-0.3262986669531822
b2 l3,2.367459532513526,1.3983470306293477,-4.746182352454895
b2 l4,0.4609473011306326,0.4520750426728088,-0.11878881594079393
b2 l5,0.9046308995817137,0.7019980312175172,-1.1956760144250285
b2 l6,0.488960299561679,0.4451525912340676,-0.18678059996631702
b2 l7,0.45097972026517325,0.4369436247818891,-0.09459598963091387
b3 l0,0.4127004086804124,0.5213703236805018,-0.0016863108500715374
b3 l1,0.41930293641033123,0.48226583493310793,-0.01771164425164118
b3 l2,0.4635574769343934,0.45090965025451485,-0.12512410739325275
b3 l3,0.445177991606231,0.45880751145477955,-0.0805143166916722
b3 l4,1.840096480421071,1.1950166760195067,-3.4661924638618986
b3 l5,4.665430206587485,2.062299244449885,-10.323704735616145
b3 l6,0.42546893538720043,0.45432026080232435,-0.032677456346652534
b3 l7,0.42716452506727637,0.47184123097423847,-0.03679290895010734
b4 l0,0.46189556293416023,0.451326841751814,-0.12109039075806338
b4 l1,2.280870454622231,1.3986349639550155,-4.536017564224683
b4 l2,0.4822916991604349,0.44684796440290225,-0.17059489819826212
b4 l3,0.46049675695740205,0.48604939085326104,-0.11769527708969041
b4 l4,0.48739393617517873,0.4729923496397359,-0.18297879912223514
b4 l5,0.4469005353594128,0.4580999888540436,-0.08469519090723088
b4 l6,0.4170503232873858,0.497398122775869,-0.012244211505183733
b4 l7,0.4159784983761411,0.5292689984256431,-0.009642730337150018
b5 l0,1.3838301844463359,0.9856371601985879,-2.358765155414333
b5 l1,0.4836337864669994,0.46305320280817514,-0.17385234707564456
b5 l2,0.4572467589194997,0.4531009531503474,-0.10980704030488675
b5 l3,0.4923774510874669,0.44513761587690454,-0.19507454354739262
b5 l4,0.4861475977615404,0.44607014659613625,-0.17995374728955116
b5 l5,0.6944586045765303,0.7814100899447358,-0.6855560668829772
b5 l6,0.4569753740153894,0.45354053230739194,-0.1091483480969293
b5 l7,0.4244266202945403,0.48603193730369976,-0.030147599971543926
