,mse,mae,r2
b0 l0,0.6203172701068354,0.7351307943292931,0.09174597790637429
b0 l1,1.3917832175701168,1.086171869741209,-1.0378163984097295
b0 l2,0.9618574911331399,0.9400605976461992,-0.4083292165186678
b0 l3,0.7286809408620886,0.6695102723501302,-0.06691757146625132
b0 l4,0.6861013431096998,0.7882078952526363,-0.004573521443147488
b0 l5,0.6318441757893265,0.7059183230771603,0.07486855250982949
b0 l6,0.81101687457119,0.8688932994228389,-0.18747191769821425
b0 l7,0.6484031259789855,0.7137523637926219,0.050623325371762506
b1 l0,0.683587409764505,0.787527178940166,-0.0008926791031378389
b1 l1,1.1213572436169637,1.0011257690905582,-0.6418650194013136
b1 l2,0.6076647195472598,0.7031185660075746,0.11027154617484802
b1 l3,1.0431250484139403,0.9739929916903208,-0.5273192710004637
b1 l4,1.145620957076706,1.0098338109769915,-0.6773913805115608
b1 l5,0.7708724005329315,0.8436066902642662,-0.12869331879865142
b1 l6,0.7504590254875424,0.8341367341927471,-0.0988045330386047
b1 l7,0.8931182288938968,0.9109849418987732,-0.3076827982853201
b2 l0,0.8759184805430296,0.8897479743695397,-0.2824993294839715
b2 l1,0.7816219350332347,0.8507749126193174,-0.14443253551246804
b2 l2,0.7582364519862008,0.8346975171427269,-0.11019205880864735
b2 l3,0.6520698377734254,0.7550593722787792,0.04525461181880175
b2 l4,0.7643239448731103,0.647168954371944,-0.1191052233543477
b2 l5,0.7887254252947888,0.6431924087729797,-0.15483329962443348
b2 l6,0.7748954062256908,0.6518259066542627,-0.13458370953487075
b2 l7,0.7140095393991773,0.8107140400784503,-0.04543604897672848
b3 l0,0.6442013343346664,0.7531309461211345,0.05677549031196305
b3 l1,0.8513965101468762,0.8907787104345208,-0.24659483461454568
b3 l2,0.6685114378735144,0.7274592767550689,0.021181205934118208
b3 l3,0.6877877674088404,0.7547905235000681,-0.007042744414139435
b3 l4,0.7325059441744105,0.8208162352669763,-0.07251805175328174
b3 l5,0.7765837404175245,0.6377781875009599,-0.1370557289260239
b3 l6,1.143462152773114,0.678332766873731,-0.6742305097988806
b3 l7,0.652720447319646,0.7662878464224567,0.04430200455531941
b4 l0,0.5950105087480807,0.7098826422833142,0.12879954532727456
b4 l1,0.6440984630140574,0.7277198896438274,0.05692611209085563
b4 l2,0.6811739541729296,0.7683836889633917,0.002641046062720087
b4 l3,1.7461161454689176,1.1864831619796168,-1.5566223746948484
b4 l4,0.6530442268845443,0.7495743730046689,0.043827934097729226
b4 l5,0.6790393335868032,0.7788569230187298,0.00576650754255148
b4 l6,0.7565214475742008,0.6579733586654886,-0.107680989505613
b4 l7,0.8226360970155442,0.875313812762239,-0.20448451113587174
b5 l0,0.633233649755532,0.7351231042778102,0.07283411726319633
b5 l1,0.676869735292215,0.7863251745225514,0.008943182564105978
b5 l2,0.7579807116529187,0.8390614494701247,-0.10981760980084343
b5 l3,0.6236515550402252,0.7083411516607558,0.08686399597955163
b5 l4,0.8529474649980459,0.8879947503646523,-0.24886570639185046
b5 l5,0.6685276323862072,0.7757239693718236,0.02115749430782965
b5 l6,0.7140752182614958,0.6773910140893654,-0.045532214429057305
b5 l7,0.6855709197100428,0.7128819456524732,-0.003796887921291514
