,mse,mae,r2
b0 l0,0.7415221220120998,0.8259487889856266,-0.08571932822843498
b0 l1,10.502750172739525,3.1336516147973965,-14.377880879879896
b0 l2,0.845067890386676,0.887497220319425,-0.2373286177469851
b0 l3,0.8028060416640367,0.8639060433336583,-0.17544980841311197
b0 l4,0.7064503928092271,0.6824784260527098,-0.034368123537968254
b0 l5,0.8710869221504864,0.9005032931072714,-0.27542507481707856
b0 l6,0.698170849241081,0.6892623378870676,-0.022245409711908026
b0 l7,0.8228775368455187,0.8751293372184259,-0.2048380216815806
b1 l0,0.7848328903346271,0.8536836417129775,-0.14913394107989686
b1 l1,9.526019164829826,2.973725178124676,-12.947774208362015
b1 l2,0.6780147635160702,0.7857956522483895,0.007266659049698365
b1 l3,0.6960268162768647,0.6913609168077092,-0.01910616684846911
b1 l4,0.7467490753244238,0.8260423266085168,-0.09337251087865561
b1 l5,0.6968204777765026,0.6906116936828086,-0.020268227432568064
b1 l6,0.7208691829811411,0.8033022776345456,-0.05547977849013419
b1 l7,6.123903873965856,2.3325796368070013,-7.966476660381046
b2 l0,1.53484992424672,1.1269288734457619,-1.2472913204030092
b2 l1,0.758517893986591,0.8349458760832686,-0.11060413959562343
b2 l2,0.8063657630371969,0.8660218929241382,-0.18066186909642745
b2 l3,0.7025188366528253,0.6721778399657428,-0.02861163107158271
b2 l4,0.7129010194988948,0.6780682714525079,-0.043812980094849685
b2 l5,0.7567151920804823,0.8336266577834681,-0.10796466567516139
b2 l6,0.7834691152568625,0.8519233451559689,-0.14713713354397662
b2 l7,1.6857660867653523,1.1699715532056993,-1.4682592318443208
b3 l0,0.8282427088628523,0.87840893659934,-0.21269358092327018
b3 l1,1.0626391055910502,0.9811872663498931,-0.5558912965954024
b3 l2,0.7151143918290569,0.6767078071730326,-0.04705374803431739
b3 l3,0.7171763277627812,0.6754727991261898,-0.050072786348020815
b3 l4,0.7292100933068617,0.8112671027286688,-0.06769234408572578
b3 l5,1.3621547074660976,1.077689842450333,-0.9944350276702325
b3 l6,2.9186983844098116,1.495235553794386,-3.2734898328105864
b3 l7,0.6965788375403544,0.6908640799472222,-0.019914423456832697
b4 l0,0.7835320673223687,0.8504731160123729,-0.14722930648426136
b4 l1,0.7460862734124244,0.8255189300388189,-0.09240205183868544
b4 l2,1.4277189643491264,1.0961619788325985,-1.0904326774041095
b4 l3,10.466283952031407,3.127827716197652,-14.324487893379622
b4 l4,1.0606580062990616,0.9804451457096695,-0.5529906173997294
b4 l5,0.8286558330532586,0.8786641460858714,-0.21329846768951488
b4 l6,0.7078353782980347,0.6814894742099974,-0.036395986861093466
b4 l7,0.7057773972942256,0.6829195870452435,-0.03338273926316693
b5 l0,0.7128074099584472,0.8097702292105634,-0.04367591919760372
b5 l1,1.18696896027745,1.0014097776086148,-0.7379321586300678
b5 l2,0.6971071212446489,0.6902728384835837,-0.020687924086839837
b5 l3,0.8211081894583867,0.8744779655838134,-0.2022473846668047
b5 l4,1.0386057938626805,0.9722538680617393,-0.520702284305349
b5 l5,0.7067055047704127,0.7876530570665549,-0.03474165249806194
b5 l6,0.7557753269235081,0.8329336433294364,-0.10658853711936556
b5 l7,0.782652744214401,0.8514323189849067,-0.14594182217902207
