,mse,mae,r2
b0 l0,0.611810893989884,0.6493479705202254,0.10420081463908626
b0 l1,11.591726957733147,3.302839570417546,-15.972335189956897
b0 l2,3.261739399537392,1.6058523187766065,-3.7757624548174578
b0 l3,0.7713650846655996,0.8439672007837664,-0.12941469536945127
b0 l4,1.1094812541407721,0.9979577849205923,-0.6244764736878679
b0 l5,0.9943870669763438,0.6151831802912958,-0.4559582597847067
b0 l6,0.7025978178296184,0.782300806667408,-0.028727273461290448
b0 l7,0.9947876290783632,0.9552848236853346,-0.456544753435278
b1 l0,0.8326127003448495,0.8810290821993011,-0.21909202012738116
b1 l1,1.9143300205841447,1.2302693242521705,-1.8029171918922589
b1 l2,0.7101603329769014,0.6799009797587012,-0.039800131062821764
b1 l3,3.381489247597104,1.6427146793585046,-3.951097378390684
b1 l4,4.951279733687125,2.0659869321634,-6.249547851307573
b1 l5,11.993570675152947,3.363122499305632,-16.560705351788325
b1 l6,0.7083647206050983,0.7896417055676752,-0.037171037472487845
b1 l7,0.9137170445396526,0.920948097756171,-0.3378431018303121
b2 l0,0.7014070348980221,0.7806617473505193,-0.026983756975159867
b2 l1,1.4666534617919085,1.1068764085708704,-1.1474396569043104
b2 l2,0.8865105590140765,0.908252838671731,-0.2980080027666012
b2 l3,0.8408803763186454,0.8852476125648371,-0.2311973576996751
b2 l4,0.7031065275055592,0.7829993680170036,-0.029472114257310222
b2 l5,1.4258089055217762,0.8618765431919976,-1.0876360139933396
b2 l6,2.3722597706209907,1.2997238325135851,-2.47340720942097
b2 l7,0.7506893803521723,0.8291020284377508,-0.0991418132376114
b3 l0,0.8754464523540274,0.9029041384116753,-0.28180819686222613
b3 l1,1.6631200020431958,1.1636907747363447,-1.4351013648546926
b3 l2,0.7406860758481149,0.663995178748517,-0.08449520901124075
b3 l3,0.8468229613524154,0.6348245537249354,-0.23989835155984185
b3 l4,0.7466395078516107,0.8259381053800516,-0.09321208475049714
b3 l5,0.880150650909932,0.9052330523402321,-0.2886959742384574
b3 l6,0.7112269041219899,0.7930379992937832,-0.0413617795595802
b3 l7,0.7001034592038647,0.8011060413311503,-0.025075091967142304
b4 l0,0.6056043032515883,0.6797709139663232,0.11328835947009697
b4 l1,0.6831754945704162,0.7348965159050417,-0.0002895625209922148
b4 l2,2.0682041982601973,1.2681748806772304,-2.028216159864816
b4 l3,4.089713908352367,1.845734590491054,-4.988063343510561
b4 l4,0.8509864932956512,0.8905964050693745,-0.24599449754157132
b4 l5,0.9780091865425313,0.9484595347096056,-0.4319781507433822
b4 l6,1.1965743693746695,1.0272412740788894,-0.7519961737185108
b4 l7,0.6918651114327534,0.7650031698833857,-0.01301269606249611
b5 l0,0.7120390781532057,0.8096589954812082,-0.04255094575894258
b5 l1,1.5316621052864423,1.121041684644676,-1.242623790524501
b5 l2,0.8743467718396005,0.9023998300106157,-0.28019807040214184
b5 l3,2.066472276086553,1.176220449690178,-2.0256803199713134
b5 l4,4.350836290819176,1.9151654134831246,-5.370392621709283
b5 l5,0.9937523795755154,0.9548717842535803,-0.455028965353689
b5 l6,0.7111784879340851,0.7929825332256792,-0.04129088971092032
b5 l7,0.7494731494019318,0.8281544630069443,-0.09736103635845006
