,mse,mae,r2
b0 l0,0.530760295180196,0.6425949226630155,0.22287320360758545
b0 l1,1.4288167790356252,1.1097783104211973,-1.09204007196263
b0 l2,0.6869335083183838,0.7018827736480475,-0.00579195825646317
b0 l3,0.8659958843372706,0.7879909061447632,-0.26797089645817573
b0 l4,0.6021361183517427,0.6512241880928592,0.11836639459252174
b0 l5,0.6824542193053469,0.6632580553511693,0.0007665118333829435
b0 l6,0.7020941489675079,0.8024580992561348,-0.027989813306849687
b0 l7,0.6895518476546425,0.6272559065959163,-0.009625669403910742
b1 l0,0.5728779551498916,0.6938727045892205,0.16120551206957712
b1 l1,1.2348371115249148,0.8302456833942347,-0.8080195848486027
b1 l2,0.54842359941903,0.662861442675298,0.19701100712928754
b1 l3,0.9895049996674732,0.9523090036067122,-0.4488100511451991
b1 l4,0.7594887384414114,0.7837554337288749,-0.11202562731394217
b1 l5,0.8503760146091468,0.8880024801511681,-0.24510064894321704
b1 l6,0.6900637420107554,0.788979234777636,-0.010375173134068882
b1 l7,1.410300395520699,0.9219875904479757,-1.0649288167832225
b2 l0,0.6809930895429472,0.6269872390410931,0.002905863818975063
b2 l1,0.6720395109539905,0.7672852505351033,0.016015483939902375
b2 l2,0.7478223070718982,0.8225683149513551,-0.09494391167346872
b2 l3,0.6758709850242188,0.7662148253287369,0.01040552932065908
b2 l4,0.9715293110662644,0.7745190440839383,-0.422490468798026
b2 l5,1.0338643355098458,0.7912423283675247,-0.513759952006895
b2 l6,0.8158609830691763,0.6858002329731443,-0.19456454793563482
b2 l7,0.5716278796286496,0.6506410869219427,0.1630358433771245
b3 l0,0.5156152380092375,0.5752357838797502,0.24504824169413086
b3 l1,0.7678905500136425,0.8259438921862414,-0.12432736308866499
b3 l2,0.5527954330562782,0.6142641328982377,0.190609870684592
b3 l3,0.6797054258811805,0.616748485469729,0.0047912308017482585
b3 l4,0.52344105404389,0.6066226188727055,0.23358986509853208
b3 l5,0.9162544298212842,0.6163346134940849,-0.3415582819465228
b3 l6,1.0926898377378909,0.8884263979273581,-0.5998908749636229
b3 l7,0.5780153374845635,0.5867110934126696,0.1536834771475204
b4 l0,0.5192632067878346,0.57061800615184,0.23970697122609752
b4 l1,0.5664812281807148,0.6449810513608739,0.1705714499177834
b4 l2,0.867477228179509,0.7260054760633246,-0.270139845426153
b4 l3,1.3871605760552905,1.0934175545624176,-1.0310480349433782
b4 l4,0.688971206321159,0.7759067146120113,-0.008775507959204676
b4 l5,0.5629372184240027,0.6634092519288878,0.17576050602018467
b4 l6,0.8549880564248199,0.7800968828141598,-0.2518534925782614
b4 l7,0.6630304492500733,0.756065444198427,0.02920634113861187
b5 l0,0.5164748032282876,0.5659006226528915,0.24378968642721133
b5 l1,0.5136061524089793,0.5717460194913779,0.2479898977870696
b5 l2,0.6711055828534503,0.6453120062106245,0.017382919596684587
b5 l3,0.5610469916559714,0.5821447690116255,0.17852813179406923
b5 l4,0.6350613384238435,0.6760639548395495,0.07015805831058497
b5 l5,0.6494122504948898,0.7239218788445231,0.049145788884336405
b5 l6,0.7308303955373545,0.7224322999340435,-0.07006475267205903
b5 l7,0.7146029781692627,0.6845571617201767,-0.04630494812845365
