,mse,mae,r2
b0 l0,0.5476959653287211,0.6682505916035447,0.1980763919266859
b0 l1,2.295460346013451,1.3530603130462817,-2.3609592901775467
b0 l2,0.8156135100044349,0.7911864523117826,-0.19420220366884955
b0 l3,1.1656004263161872,0.9503467315828438,-0.7066448515505492
b0 l4,0.6591785348668644,0.7133492927616097,0.034846223985509184
b0 l5,0.734035018136702,0.6570706692097418,-0.07475688604543462
b0 l6,0.8767384129091628,0.899927280986519,-0.28369985525565755
b0 l7,0.9962894217836551,0.8145993656001003,-0.4587436431497258
b1 l0,0.6418404503683417,0.7614328738743393,0.06023224133509908
b1 l1,1.4349079807007,0.9670265916620072,-1.1009586668144786
b1 l2,0.5587445370000769,0.6750839128851441,0.18189933198900232
b1 l3,1.4671252490580013,1.1186730179819668,-1.1481304367723726
b1 l4,1.1169318798982086,0.9620563110304831,-0.6353855054646886
b1 l5,1.2826490313161816,1.0608865726054904,-0.8780246782856385
b1 l6,0.8452694414931202,0.8809328823604778,-0.2376237241576995
b1 l7,3.440356148525525,1.6027535879013135,-4.0372889163551475
b2 l0,0.7377929479082913,0.6689443306283475,-0.08025915882465862
b2 l1,1.0610457583969186,0.9824687964967895,-0.5535583549421539
b2 l2,0.8374810901181902,0.8779424310919062,-0.22622020243962715
b2 l3,0.7177192395214792,0.7893874303064163,-0.05086770503276816
b2 l4,1.6248432829973025,1.0549425059043127,-1.3790574890812635
b2 l5,1.3363164635989675,0.9630793661071747,-0.9566032760052903
b2 l6,0.9150219615501766,0.7099815263477895,-0.3397537307623464
b2 l7,0.6231254063450155,0.7069853286914723,0.08763437057924839
b3 l0,0.5192887567688758,0.5947802992677448,0.2396695615421125
b3 l1,1.0862155269881553,0.9918139644545609,-0.5904113407605551
b3 l2,0.5764347950514059,0.6394993320144915,0.15599767036957557
b3 l3,0.9954369666824827,0.7915705849159052,-0.45749549835091896
b3 l4,0.5480914858763493,0.6390083799728222,0.19749728000200573
b3 l5,1.2980371204492702,0.8242699214314049,-0.9005555580805147
b3 l6,1.4088129200833917,1.0475051851570467,-1.0627508900773175
b3 l7,0.6227204915666432,0.6082497295483019,0.08822723731661719
b4 l0,0.5254846447747912,0.5715357192945701,0.2305976874012473
b4 l1,0.5991378174257943,0.6761475612583862,0.12275643660275093
b4 l2,1.1820388297709092,0.8847244813625983,-0.7307135769819364
b4 l3,2.2867265386360858,1.318114084815299,-2.348171453918664
b4 l4,0.710127784537354,0.7966347251379006,-0.03975247439976193
b4 l5,0.5959702307682688,0.7041031422602765,0.1273943428173112
b4 l6,0.920249684020293,0.845806698092204,-0.3474080395953969
b4 l7,0.7756765543098898,0.8335734100318473,-0.13572744826908711
b5 l0,0.5240370180863826,0.565681985867529,0.23271726850207763
b5 l1,0.5169983828480456,0.575444461627244,0.24302307340763585
b5 l2,0.7454445510909766,0.7178519589629102,-0.09146245704162004
b5 l3,0.5886300695318428,0.5926237312198009,0.13814163502900723
b5 l4,0.7726655320194603,0.7974913699682512,-0.13131877993485674
b5 l5,0.7593286239491492,0.7961319525389272,-0.11179119142347016
b5 l6,0.7445355601973104,0.7464437690511074,-0.09013153385923522
b5 l7,1.5719104925977507,1.0864442263972254,-1.3015545368053227
