,mse,mae,r2
b0 l0,0.5407413647237419,0.6590199677038575,0.2082591552897618
b0 l1,2.3112815879729265,1.3567335107281469,-2.3841243821984976
b0 l2,0.7892710936925861,0.766803012228737,-0.1556322545156028
b0 l3,1.1223403908209968,0.9340238389214284,-0.6433045205169592
b0 l4,0.6560717059046214,0.7358643979620892,0.039395170205285046
b0 l5,0.6893710687011471,0.6504506606964443,-0.009360977093161749
b0 l6,0.8731572393290519,0.899564937593076,-0.27845638475323065
b0 l7,0.9627858155836333,0.7813386611748793,-0.4096884474422615
b1 l0,0.640402513151653,0.7605145351820523,0.06233763533831749
b1 l1,1.4353080883277387,0.9956410969078928,-1.101544495033425
b1 l2,0.5562339045094374,0.6725723826874458,0.1855753412950618
b1 l3,1.3590704139816925,1.082605283656311,-0.9899190773694362
b1 l4,1.1204694338776882,0.955328925801227,-0.6405651091692284
b1 l5,1.1892467867571415,1.029053804764092,-0.7412672988260756
b1 l6,0.8618185713568118,0.8875021662283167,-0.2618545726044288
b1 l7,3.048192996294994,1.5006439977482608,-3.463092811402353
b2 l0,0.7345414654233926,0.6718482070335688,-0.07549841430408843
b2 l1,0.868697563663461,0.897997894940413,-0.2719266320674665
b2 l2,0.8398785047302987,0.8791584545476431,-0.22973044077895066
b2 l3,0.7343731115735449,0.803327723554148,-0.07525191453916524
b2 l4,1.0832588935136913,0.7443107667248093,-0.5860823072571415
b2 l5,1.1837126229461987,0.8986574334496038,-0.7331643057571449
b2 l6,0.8949161861618874,0.6971164309956747,-0.31031532521774574
b2 l7,0.6185115338366229,0.7021042191358573,0.09438989467170678
b3 l0,0.5176242681086152,0.5756068959339832,0.24210666686428173
b3 l1,1.2669803182845416,1.0578848512250316,-0.8550829155493425
b3 l2,0.5660070757697665,0.613632608735201,0.17126569277556314
b3 l3,0.8801334119834949,0.7277688919847408,-0.2886707334060197
b3 l4,0.5664393582970243,0.6703492353552337,0.17063275482109497
b3 l5,1.2330564508685569,0.761219151767384,-0.8054123832099276
b3 l6,1.345626570735389,1.0227048545801216,-0.9702349168772606
b3 l7,0.6304920555843481,0.6141352145062353,0.07684829525391623
b4 l0,0.5320989888418206,0.5732252529034676,0.22091311969389338
b4 l1,0.6187951205970053,0.6876245835111486,0.09397467357737
b4 l2,1.0733428009024313,0.8338240181393207,-0.5715633966421287
b4 l3,2.365001309051568,1.3382526628695215,-2.4627795399486936
b4 l4,0.6943813953185728,0.7880185337329397,-0.016696980009049955
b4 l5,0.5928835796169662,0.6987594515235415,0.13191374515877385
b4 l6,0.9003824157637124,0.8468673954866505,-0.31831885060837317
b4 l7,0.7835023006596592,0.8389345643014433,-0.14718572283371167
b5 l0,0.5313294703206041,0.568121155774107,0.2220398306942981
b5 l1,0.5140967369045848,0.571914915585429,0.24727159545569366
b5 l2,0.7874151393785815,0.7549193450367678,-0.15291480966641102
b5 l3,0.5746246908882484,0.6014214024187461,0.1586479825014836
b5 l4,0.7308158806120914,0.7666920418191292,-0.07004350025835748
b5 l5,0.7644416170854526,0.7573253364991954,-0.11927751625235139
b5 l6,0.7960931670509512,0.7930294403762902,-0.16562097458732628
b5 l7,1.4209861084138002,1.0307823337195452,-1.080574587394164
