,mse,mae,r2
b0 l0,0.6457419950890438,0.7145972472125283,-0.5673134875003316
b0 l1,0.4386088572554945,0.5525031532440665,-0.06457003407196815
b0 l2,0.5030347561750818,0.600861352140065,-0.22094143486196693
b0 l3,0.7394670676152351,0.7412376292759324,-0.794798413994837
b0 l4,0.45929779566544476,0.43860878300095296,-0.11478521669689168
b0 l5,0.7196453244443424,0.6844782844608441,-0.7466880453742799
b0 l6,0.5184168847286281,0.5740281167110944,-0.2582761873355346
b0 l7,1.079686021731812,0.8579594667543886,-1.6205612721416705
b1 l0,0.8333566416571588,0.8042935325088398,-1.0226826105481002
b1 l1,0.5370195121020601,0.5374291091261346,-0.3034275775301625
b1 l2,1.0016741841841545,0.854019511661948,-1.4312147434924567
b1 l3,0.43818390582698485,0.46218859043659355,-0.06353861268308392
b1 l4,0.4997278279789878,0.5807317269161953,-0.21291501997281514
b1 l5,0.49892690644943105,0.5111962418474992,-0.21097106228499185
b1 l6,0.5817292957335546,0.46647024416139693,-0.41194498454687634
b1 l7,0.6065354347372458,0.5394763321717279,-0.4721532357199043
b2 l0,0.6708079189657935,0.6576819134611016,-0.6281522758515043
b2 l1,0.4261089381237326,0.4996606229295048,-0.03423083978559949
b2 l2,0.9515730073270531,0.7695537385968091,-1.3096116096944965
b2 l3,0.7697044981869747,0.656648015746543,-0.8681892312606514
b2 l4,0.6775699080452983,0.6098828659022728,-0.6445646460662933
b2 l5,0.918312279847766,0.7384387290077976,-1.2288827935747224
b2 l6,0.7042754759932099,0.5499304972324004,-0.7093830985665783
b2 l7,0.8971970047769597,0.6215080257259722,-1.1776328273925003
b3 l0,0.3925176921715542,0.5007210899504456,0.047300194657235894
b3 l1,0.40133542957142443,0.4409062661391847,0.025898212346720295
b3 l2,0.4388323007403388,0.45892829679604447,-0.06511236520445451
b3 l3,0.8138164078862876,0.8192902463630939,-0.9752555078183596
b3 l4,0.6980624116508012,0.5587925053580223,-0.6943030517109887
b3 l5,0.5484472213229601,0.6379871270298121,-0.331164356196197
b3 l6,0.8033589095048927,0.7023918224441179,-0.9498735775995992
b3 l7,1.5821326913531395,1.058030371436245,-2.840075331992369
b4 l0,0.42106108986577384,0.47289097848462114,-0.02197894860038585
b4 l1,0.9450098868374813,0.861191405075712,-1.2936819236254076
b4 l2,0.5114551348809506,0.46678519990874656,-0.24137896752352006
b4 l3,0.37828046226826945,0.46326279921690566,0.08185610494611872
b4 l4,0.5302959585470001,0.4885562368630439,-0.28710849614639167
b4 l5,0.4491012682198205,0.46564489599798625,-0.09003670240986517
b4 l6,0.5151239606221195,0.5023620577932356,-0.25028376248985884
b4 l7,0.49452909295966574,0.49653773091856607,-0.2002969037968645
b5 l0,0.453305067579871,0.4595813710136974,-0.10023995926145624
b5 l1,0.5337670082153007,0.49826679728457257,-0.29553325867118474
b5 l2,0.5821896637306009,0.5087238086125474,-0.41306236730418777
b5 l3,0.5474287114613167,0.47190100042636507,-0.3286922787171944
b5 l4,0.6103977194302637,0.5344614004136482,-0.48152758482213076
b5 l5,0.47888539041069855,0.5802648111222026,-0.16232727167458227
b5 l6,0.4545789097407767,0.4492982082257236,-0.10333176684856982
b5 l7,0.5510139559384984,0.5401400678408378,-0.3373942093145659
