,mse,mae,r2
b0 l0,0.4289484540867857,0.5624957399277004,-0.041122774491274106
b0 l1,0.41092594113547626,0.502541569522194,0.00262059026130268
b0 l2,0.4224703578484671,0.4815981154521111,-0.025399455139492044
b0 l3,0.5924498590228505,0.7164498899644648,-0.4379654130844344
b0 l4,0.4879565124196818,0.4454082368079245,-0.1843442567546374
b0 l5,0.4489643995442521,0.5911172641752483,-0.0897045014335216
b0 l6,0.5330157885008421,0.6723838768309084,-0.2937099348057688
b0 l7,0.979818239919248,0.7530652809968349,-1.378167061153444
b1 l0,0.5274813120964189,0.6675857901496239,-0.2802769235088829
b1 l1,0.5497541947388143,0.44505157190346323,-0.33433657835001585
b1 l2,0.7596751874015586,0.8188277741796808,-0.843846577098678
b1 l3,0.4140026553387961,0.49389040227598024,-0.004847060448609719
b1 l4,0.4137106692540935,0.4953469564438889,-0.004138366059523779
b1 l5,0.4961242964165222,0.6397804198512784,-0.20416870385362484
b1 l6,0.5058956655667032,0.44466697478078415,-0.22788529465443141
b1 l7,0.5266413648303543,0.44056575044255675,-0.27823824445609713
b2 l0,0.5876544933493106,0.44598308440347434,-0.4263263353184006
b2 l1,0.4178152278060065,0.4845197114226057,-0.014100750460062983
b2 l2,0.4492025708737742,0.45499528803887784,-0.09028257927255745
b2 l3,0.5404148754559128,0.4428181298096793,-0.31166863792259325
b2 l4,0.5110415568755587,0.44083062837399833,-0.240375151152719
b2 l5,0.543943389339234,0.4422088686699104,-0.32023287478843154
b2 l6,0.5325616965956407,0.4426755829202593,-0.29260778507259433
b2 l7,0.7215958037027593,0.5564241120564921,-0.7514221535352106
b3 l0,0.4132773308759231,0.4975123683043057,-0.003086588275326374
b3 l1,0.4657544126059961,0.4537724958273222,-0.13045640254435065
b3 l2,0.4301841610007372,0.466901535585934,-0.04412202206625415
b3 l3,0.6676453284695121,0.7654420330817671,-0.6204761903901914
b3 l4,0.5014502079400088,0.4422810136989763,-0.21709549664002692
b3 l5,0.4417357887446574,0.5815978989045073,-0.0721595697297488
b3 l6,0.42588601291527206,0.4728627241278704,-0.0336897665882836
b3 l7,0.45942102385811623,0.4506781113695195,-0.11508431015818599
b4 l0,0.42907921034359603,0.46991394633123845,-0.04144013970281746
b4 l1,0.9435327977801674,0.9125645625008895,-1.2900968050805806
b4 l2,0.4991437213370353,0.4424661320108923,-0.2114973048094324
b4 l3,0.43501498588418497,0.464725517883036,-0.055847164697771845
b4 l4,0.47193830232320344,0.44793727697758795,-0.14546563817205227
b4 l5,0.4538136515474729,0.458521217662338,-0.10147436947174304
b4 l6,0.5543365474864742,0.6882965907612069,-0.3454586415277425
b4 l7,0.43069280395322007,0.5654752874006052,-0.04535657544176819
b5 l0,0.4497369380993684,0.45643483135928814,-0.09157956934958733
b5 l1,0.4976922780166869,0.44416083219877317,-0.2079744323470174
b5 l2,0.5075431033144777,0.4425931583269178,-0.23188387523543907
b5 l3,0.5163967404735509,0.44283279215439375,-0.25337299169120864
b5 l4,0.5529745724746952,0.44220159618153265,-0.34215292218188287
b5 l5,0.580900717597819,0.7083891970179071,-0.40993390009292674
b5 l6,0.5759625435165356,0.44608954688246416,-0.3979482047222038
b5 l7,0.48436117255669137,0.6296050887897896,-0.17561782312902907
