,mse,mae,r2
b0 l0,0.4402006607958828,0.4617763260035185,-0.06843358201723926
b0 l1,0.43603810649143954,0.46379374496036957,-0.05833043315372621
b0 l2,0.5109269668526675,0.44338293096989195,-0.24009702383596343
b0 l3,0.4579303688417816,0.45365813160778806,-0.11146626497902878
b0 l4,0.4167695883005231,0.4842208036306238,-0.0115628252322304
b0 l5,0.9470962246707268,0.9144815460631127,-1.298745781095413
b0 l6,0.4514828963894058,0.46288605923007486,-0.09581727418743258
b0 l7,0.41526566072461124,0.49035215916288616,-0.007912565543567451
b1 l0,0.4561382523689026,0.4591662106914572,-0.10711652725022036
b1 l1,0.560651150425519,0.44452923171665365,-0.3607851379145999
b1 l2,0.501160093702824,0.4448260798012389,-0.2163913455079749
b1 l3,0.3945622120221025,0.5113406530321918,0.04233783575600836
b1 l4,0.5303685644135098,0.44245267195317894,-0.2872847215657044
b1 l5,0.41235555079306935,0.5021884432855866,-0.0008492885993673926
b1 l6,16.867326876390077,4.056188654348338,-39.93955343232337
b1 l7,0.43507856337401424,0.5721718485586214,-0.056001476881381906
b2 l0,0.4632574610967457,0.4539786491309094,-0.12439592357930684
b2 l1,0.563814179435012,0.44619006158052976,-0.3684622877138002
b2 l2,0.5052867680754815,0.44374321727607263,-0.22640740835037376
b2 l3,0.6328638987904143,0.7417208705365665,-0.5360564000324692
b2 l4,0.4744028097784182,0.5142451231871478,-0.15144737051094181
b2 l5,0.4872970020078809,0.4462592790341535,-0.1827435252373697
b2 l6,1.2512676887175354,0.9161811356122476,-2.0370159288307277
b2 l7,4.117813244743487,1.9250118797325027,-8.994555544748204
b3 l0,0.4175008635430634,0.5387486618073684,-0.013337740847793711
b3 l1,1.2847836155235113,1.056288175544183,-2.1183641523140655
b3 l2,0.5651958733487293,0.44502409720740455,-0.37181586781705445
b3 l3,0.41206722184576383,0.5055445762475741,-0.00014947063586889797
b3 l4,0.4430378352400698,0.4618859062054108,-0.07531983350248184
b3 l5,0.41184756533992106,0.5073067858403975,0.00038366892581820355
b3 l6,0.5213998742247629,0.4488269878344791,-0.2655163540056906
b3 l7,1.2379506568360445,1.0375898071706606,-2.004693478316333
b4 l0,0.4305366231792968,0.5603914548450752,-0.04497750108185383
b4 l1,0.43951493403597497,0.4631184363248556,-0.06676921945801739
b4 l2,0.4897175797070012,0.4464333489356835,-0.18861863341405027
b4 l3,0.4715259241456009,0.44895043262531265,-0.144464733964764
b4 l4,4.178579137347513,1.9406632061596454,-9.14204355665171
b4 l5,1.1044651573645523,0.9855884421824201,-1.6807039820492684
b4 l6,0.5268240222679411,0.6673715687922356,-0.2786815816831929
b4 l7,0.5825258248857857,0.708260242249544,-0.41387828127060433
b5 l0,0.4123397309578258,0.5127230267783522,-0.0008108914665558853
b5 l1,0.4755398598542857,0.4503638321703881,-0.15420716301851245
b5 l2,0.438366212446043,0.4635014586625798,-0.06398109842055111
b5 l3,0.520169735531157,0.44321014087843613,-0.26253062134365646
b5 l4,0.42632813391879876,0.48069275143596785,-0.03476286113255145
b5 l5,0.4132846207930135,0.49629542982695846,-0.0031042820066700116
b5 l6,1.6308472795016842,1.1878981026387039,-2.958313005279685
b5 l7,0.41392930955229357,0.49463561653936,-0.004669039131565134
