,mse,mae,r2
b0 l0,0.4278005065555019,0.4705598059579195,-0.038336532211219465
b0 l1,0.5263429694521654,0.4452642796628963,-0.27751399374234476
b0 l2,0.4132839522912544,0.4925274621125595,-0.0031026594517931105
b0 l3,0.43246382703049824,0.5666256887968845,-0.04965511630917696
b0 l4,0.4223237425285529,0.47684977719460264,-0.025043597583187305
b0 l5,0.42687407290998636,0.4716360033693477,-0.036087937634851075
b0 l6,0.414091364740177,0.5054001073849614,-0.005062371582638114
b0 l7,1.902094109162997,1.2175259690538713,-3.616670085666346
b1 l0,1.0617254147226383,0.9677474219773292,-1.576968162473638
b1 l1,0.4901800290595001,0.4458532129806296,-0.18974106793584
b1 l2,1.3010199683388628,1.0667989038916759,-2.157772236268409
b1 l3,0.5543742509021281,0.4448867154211235,-0.3455501534199976
b1 l4,0.5487913967772862,0.44644614364309704,-0.33199972207875406
b1 l5,0.5367473549179076,0.6513147703354695,-0.30276701088173885
b1 l6,0.42279468456671787,0.47677976489041246,-0.026186645137566966
b1 l7,0.4637624497433527,0.45021615461103504,-0.12562160740176376
b2 l0,0.47537196424198497,0.4291157271401445,-0.15379965497404213
b2 l1,0.413749043349062,0.49540854718076605,-0.004231505791912449
b2 l2,0.4083846614588541,0.5217619958069311,0.008788660392983094
b2 l3,0.586595207842293,0.44762999202000486,-0.4237552891809513
b2 l4,2.571313184197778,1.4693374564352588,-5.240965996992162
b2 l5,0.6660975334628849,0.5041128525002796,-0.6167194578124413
b2 l6,0.5619352899876697,0.44445538195437334,-0.363901938851968
b2 l7,4.364838876139216,1.9880996290570103,-9.59412411360274
b3 l0,0.38969437521461325,0.47198179297304926,0.05415281192505317
b3 l1,0.4254797118691506,0.4734862518626629,-0.03270361249823739
b3 l2,0.45629692997352767,0.45400426438024954,-0.10750166179588194
b3 l3,0.45939430422808714,0.45253747583612136,-0.11501945757488796
b3 l4,0.5337966113875451,0.4436296573989806,-0.2956051100475614
b3 l5,1.0814643786184146,0.9755704487719344,-1.6248776132735139
b3 l6,0.5227396683193916,0.44261882380986334,-0.2687682369108675
b3 l7,0.48332980816786447,0.45577414028325636,-0.17311454576836582
b4 l0,0.4970519716935528,0.44515560959978606,-0.20642031205747124
b4 l1,2.203449329782978,1.3753062319032643,-4.348104784661267
b4 l2,0.5357261890560083,0.44274473195185604,-0.3002884868884077
b4 l3,0.44241847660005323,0.4598939603701227,-0.07381655640809992
b4 l4,0.4589926646435063,0.45270011294351015,-0.11404461755702466
b4 l5,0.46367567705684926,0.4512311197352331,-0.125410996967662
b4 l6,0.781096040688453,0.8277673684504883,-0.8958382278286043
b4 l7,0.40105080772053664,0.4579072810416866,0.02658903262653234
b5 l0,0.41798287013361823,0.5402773599878616,-0.014507643744284815
b5 l1,0.4854425654865097,0.4573017861889479,-0.17824252732525858
b5 l2,3.079921202621368,1.6333946020438432,-6.4754345822607835
b5 l3,0.42260719873624364,0.4687500727499718,-0.025731588670661942
b5 l4,1.3437474474762638,0.965337480425096,-2.26147829046379
b5 l5,0.8180236470346692,0.84961459876832,-0.9854671135564816
b5 l6,2.1863580777569247,1.3319790193186578,-4.3066217310230925
b5 l7,0.6744865312685457,0.7695231680784651,-0.6370808242829769
