,mse,mae,r2
b0 l0,0.5909687825414841,0.6797059269881689,-0.43437061645835295
b0 l1,0.410940995351471,0.510413577107855,0.0025840514022047456
b0 l2,0.48703404692945923,0.5848282693150836,-0.18210529349132965
b0 l3,0.7545277949925719,0.7444490631807915,-0.831353077203338
b0 l4,0.45286087974531797,0.4339115481481518,-0.0991618482056893
b0 l5,0.7015600068943492,0.6701910266710502,-0.7027922443617995
b0 l6,0.5014358464728099,0.5646456646542962,-0.21706063918703156
b0 l7,1.1001034910593668,0.8691053978773632,-1.6701175582452068
b1 l0,0.8329960438959678,0.7970614736609583,-1.0218073852429859
b1 l1,0.5246292087008833,0.5194399402760295,-0.2733544372007837
b1 l2,1.1391784402915273,0.9256671658444825,-1.7649583699327147
b1 l3,0.4424563768146426,0.46614311733561525,-0.07390854596113638
b1 l4,0.5659517879040228,0.6374599419746776,-0.37365058677124896
b1 l5,0.5087687054925959,0.5215657852266812,-0.2348585970882584
b1 l6,0.5253801107660961,0.43581283981531804,-0.2751769900834373
b1 l7,0.6614568703170784,0.5374658182088222,-0.6054558664792411
b2 l0,0.6736114690894535,0.6647731710297111,-0.6349569160253086
b2 l1,0.41534572928067914,0.48734897783013464,-0.008106904039134388
b2 l2,0.9846068455190999,0.7879750466835609,-1.3897897311982081
b2 l3,0.753346697987285,0.648899214111071,-0.8284863761361769
b2 l4,0.692874159864749,0.620310277406672,-0.6817103799277235
b2 l5,0.9046980520078552,0.7299566156474839,-1.1958390035197604
b2 l6,0.6945668481993509,0.5419742854956868,-0.685818790526898
b2 l7,1.0236411532430703,0.7342637222074038,-1.4845318997985029
b3 l0,0.3952135133108125,0.49602676787537764,0.04075702902207312
b3 l1,0.39243370860815574,0.4429471520129696,0.047504035467720196
b3 l2,0.4362880620684711,0.45945097908076604,-0.05893711314377925
b3 l3,0.825983389974173,0.8317197261643221,-1.0047866135440882
b3 l4,0.7008033549829378,0.5498783981299967,-0.7009557357327854
b3 l5,0.5561206926673745,0.6260098155567821,-0.3497890317252983
b3 l6,0.7859247594506472,0.6963635315934162,-0.9075582585852988
b3 l7,1.3929404870467674,0.9792544246729008,-2.3808772377157124
b4 l0,0.4231074614195894,0.47414163068863074,-0.026945801865504215
b4 l1,0.9569976529015899,0.860786390217289,-1.3227780449558555
b4 l2,0.5010132232950415,0.5175673624747283,-0.2160348688148328
b4 l3,0.38321544643495725,0.45401444687402,0.0698781519805789
b4 l4,0.5321831130913717,0.4943526181774775,-0.29168890564877104
b4 l5,0.45572217609305155,0.4623352110407425,-0.1061066471991634
b4 l6,0.55766780284464,0.5442430395393587,-0.35354410211861054
b4 l7,0.4890237806515513,0.49128209531291617,-0.1869346781726513
b5 l0,0.47909101580696517,0.45893145567323224,-0.16282635561118886
b5 l1,0.5263595541131073,0.4922471465511696,-0.2775542472228021
b5 l2,0.5779316486394263,0.516433127363247,-0.40272752067328565
b5 l3,0.5508816949736339,0.4570878490096992,-0.3370731919489951
b5 l4,0.5957662321566181,0.5243468346513743,-0.446014752265822
b5 l5,0.5561571515789853,0.6690155274349273,-0.34987752301801534
b5 l6,0.4471074182482387,0.4487865507894109,-0.08519732696846871
b5 l7,0.5549832532160217,0.5426653870568109,-0.34702829414453373
