,lags,params,mean_squared_error,alpha
20,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 1e-05},0.4818416913596044,1e-05
21,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 0.0001291549665014884},0.48184169222103784,0.0001291549665014884
22,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 0.0016681005372000592},0.48184170334688015,0.0016681005372000592
23,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 0.021544346900318846},0.48184184704312505,0.021544346900318846
24,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 0.2782559402207126},0.4818437030291172,0.2782559402207126
25,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 3.593813663804626},0.48186768694178966,3.593813663804626
26,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 46.41588833612782},0.48217957300477393,46.41588833612782
30,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 1e-05},0.4853701644383647,1e-05
31,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 0.0001291549665014884},0.4853701650857078,0.0001291549665014884
32,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 0.0016681005372000592},0.4853701734464687,0.0016681005372000592
33,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 0.021544346900318846},0.4853702814302392,0.021544346900318846
34,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 0.2782559402207126},0.48537167615945437,0.2782559402207126
35,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 3.593813663804626},0.4853897006423551,3.593813663804626
36,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 46.41588833612782},0.48562428254432793,46.41588833612782
27,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 599.4842503189421},0.486494412081795,599.4842503189421
37,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 599.4842503189421},0.48890368878724294,599.4842503189421
10,[1 2 3 4 5 6],{'alpha': 1e-05},0.49244815241470924,1e-05
11,[1 2 3 4 5 6],{'alpha': 0.0001291549665014884},0.4924481529458116,0.0001291549665014884
12,[1 2 3 4 5 6],{'alpha': 0.0016681005372000592},0.49244815980526524,0.0016681005372000592
13,[1 2 3 4 5 6],{'alpha': 0.021544346900318846},0.49244824839912743,0.021544346900318846
14,[1 2 3 4 5 6],{'alpha': 0.2782559402207126},0.4924493927347953,0.2782559402207126
15,[1 2 3 4 5 6],{'alpha': 3.593813663804626},0.4924641893849246,3.593813663804626
16,[1 2 3 4 5 6],{'alpha': 46.41588833612782},0.49265809102769204,46.41588833612782
17,[1 2 3 4 5 6],{'alpha': 599.4842503189421},0.49555575186791995,599.4842503189421
0,[1 2],{'alpha': 1e-05},0.5037268622374176,1e-05
1,[1 2],{'alpha': 0.0001291549665014884},0.5037268623302656,0.0001291549665014884
2,[1 2],{'alpha': 0.0016681005372000592},0.5037268635294483,0.0016681005372000592
3,[1 2],{'alpha': 0.021544346900318846},0.5037268790182903,0.021544346900318846
4,[1 2],{'alpha': 0.2782559402207126},0.5037270791983023,0.2782559402207126
5,[1 2],{'alpha': 3.593813663804626},0.5037296869443039,3.593813663804626
6,[1 2],{'alpha': 46.41588833612782},0.5037670512750321,46.41588833612782
7,[1 2],{'alpha': 599.4842503189421},0.5047873008396802,599.4842503189421
38,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 7742.636826811277},0.5353412334284797,7742.636826811277
28,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 7742.636826811277},0.5415574078252877,7742.636826811277
8,[1 2],{'alpha': 7742.636826811277},0.5415588156113434,7742.636826811277
18,[1 2 3 4 5 6],{'alpha': 7742.636826811277},0.5422356965835715,7742.636826811277
39,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],{'alpha': 100000.0},0.6541047271664429,100000.0
9,[1 2],{'alpha': 100000.0},0.6549436016759423,100000.0
19,[1 2 3 4 5 6],{'alpha': 100000.0},0.6552487798110936,100000.0
29,[ 1  2  3  4  5  6  7  8  9 10 11 12],{'alpha': 100000.0},0.6557758900061262,100000.0
