,lags,params,mean_squared_error,max_depth,n_estimators
52,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 10}",0.258928592277905,5,10
51,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 5}",0.29640456999023196,5,5
41,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 5}",0.3014802483006795,10,5
56,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 5}",0.30379371768312374,10,5
57,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 10}",0.3055564321124836,10,10
42,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 10}",0.3134472160516704,10,10
55,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 2}",0.3248752972966068,10,2
40,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 2}",0.32604273344799645,10,2
50,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 2}",0.3266043594991561,5,2
35,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 2}",0.3317798733367813,5,2
45,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 2}",0.3636799395476518,3,2
36,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 5}",0.36687485953048504,5,5
30,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 2}",0.45276231194915695,3,2
37,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 10}",0.4797398527901826,5,10
31,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 5}",0.48225899889177787,3,5
0,[1 2],"{'max_depth': 3, 'n_estimators': 2}",0.49877914095603926,3,2
15,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 2}",0.506711447561128,3,2
46,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 5}",0.5069543462023,3,5
32,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 3, 'n_estimators': 10}",0.5109876300314634,3,10
7,[1 2],"{'max_depth': 5, 'n_estimators': 10}",0.538829448175599,5,10
47,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 10}",0.5408876155640697,3,10
16,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 5}",0.5414686165932361,3,5
25,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 2}",0.5524357087319316,10,2
20,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 2}",0.5542283796418352,5,2
1,[1 2],"{'max_depth': 3, 'n_estimators': 5}",0.5677001106700449,3,5
10,[1 2],"{'max_depth': 10, 'n_estimators': 2}",0.5703139000988282,10,2
48,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 50}",0.5997862951845155,3,50
49,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 3, 'n_estimators': 100}",0.6039602065066791,3,100
6,[1 2],"{'max_depth': 5, 'n_estimators': 5}",0.6091500168235865,5,5
