	T_air_sp	CO2_air_sp
0	15.88	800.0
3600	15.92	800.0
7200	15.92	800.0
10800	15.94	800.0
14400	15.9	800.0
18000	16.0	800.0
21600	16.0	800.0
25200	16.0	800.0
28800	16.0	800.0
32400	16.0	800.0
36000	16.0	800.0
39600	16.0	800.0
43200	16.0	800.0
46800	16.0	700.0
50400	16.0	700.0
54000	16.0	856.0
57600	20.0	1300.0
61200	20.0	1500.0
64800	20.0	1492.0
68400	17.0	1400.0
72000	16.0	782.0
75600	16.0	700.0
79200	16.0	800.0
82800	16.0	700.0
86400	16.0	700.0
90000	16.0	700.0
93600	16.0	700.0
97200	16.0	700.0
100800	16.0	700.0
104400	15.92	800.0
108000	16.0	737.0
111600	15.9	800.0
115200	15.96	800.0
118800	15.92	800.0
122400	16.0	800.0
126000	15.92	800.0
129600	15.92	800.0
133200	16.0	700.0
136800	16.0	700.0
140400	16.0	700.0
144000	16.0	1085.0
147600	16.0	876.0
151200	18.0	1300.0
154800	16.0	1009.0
158400	16.0	700.0
162000	16.0	800.0
165600	16.0	752.0
169200	15.98	700.0
172800	15.92	800.0
176400	15.92	800.0
180000	15.92	800.0
183600	15.9	800.0
187200	15.98	800.0
190800	16.0	800.0
194400	16.0	800.0
198000	15.98	800.0
201600	15.98	800.0
205200	16.0	800.0
208800	16.0	741.0
212400	15.98	800.0
216000	15.98	800.0
219600	16.0	720.0
223200	16.0	700.0
226800	16.0	1500.0
230400	20.0	1500.0
234000	17.0	1400.0
237600	20.0	1200.0
241200	20.0	1200.0
244800	16.0	1500.0
248400	16.0	755.0
252000	16.0	700.0
255600	16.0	700.0
259200	16.0	700.0
262800	16.0	700.0
266400	16.0	700.0
270000	16.0	700.0
273600	16.0	720.0
277200	16.0	750.0
280800	15.56	800.0
284400	15.58	800.0
288000	16.0	700.0
291600	15.53	800.0
295200	16.0	700.0
298800	15.53	800.0
302400	15.89	800.0
306000	16.0	700.0
309600	16.0	700.0
313200	16.0	1500.0
316800	19.0	1300.0
320400	20.0	1492.0
324000	21.0	1500.0
327600	16.0	890.0
331200	16.0	1064.0
334800	16.0	700.0
338400	16.0	800.0
342000	21.0	1300.0
345600	20.0	1300.0
349200	16.67	1433.0
352800	20.0	1300.0
356400	20.0	1500.0
360000	21.0	1300.0
363600	16.0	1097.0
367200	16.0	700.0
370800	16.0	700.0
374400	16.0	700.0
378000	16.0	700.0
381600	16.0	700.0
385200	16.0	735.0
388800	16.0	700.0
392400	16.0	800.0
396000	16.0	700.0
399600	16.0	700.0
403200	16.0	700.0
406800	16.0	700.0
410400	16.0	700.0
414000	16.0	700.0
417600	16.0	700.0
421200	16.0	700.0
424800	16.0	700.0
428400	16.0	700.0
432000	16.0	866.0
435600	16.0	1500.0
439200	16.0	1094.0
442800	16.0	1500.0
446400	16.0	1500.0
450000	16.0	748.0
453600	16.0	746.0
457200	16.0	700.0
460800	16.0	737.0
464400	16.0	744.0
468000	16.0	700.0
471600	16.0	700.0
475200	16.0	800.0
478800	16.0	700.0
482400	16.0	700.0
486000	16.0	700.0
489600	19.0	1300.0
493200	21.0	1496.0
496800	19.0	1300.0
500400	18.0	1300.0
504000	16.0	1100.0
507600	16.0	742.0
511200	16.0	700.0
514800	16.0	870.0
518400	16.0	700.0
522000	16.0	1091.0
525600	17.0	1400.0
529200	16.0	872.0
532800	16.0	754.0
536400	16.0	700.0
540000	16.0	700.0
543600	16.0	700.0
547200	16.0	700.0
550800	16.0	700.0
554400	16.0	700.0
558000	16.0	800.0
561600	16.0	700.0
565200	16.0	800.0
568800	16.0	700.0
572400	16.0	886.0
576000	21.0	1398.0
579600	16.0	700.0
583200	19.0	1200.0
586800	16.0	753.0
590400	16.0	749.0
594000	16.0	700.0
597600	16.0	800.0
601200	16.0	700.0
604800	16.0	700.0
608400	16.0	700.0
612000	15.56	800.0
615600	15.78	800.0
619200	15.94	800.0
622800	16.0	800.0
626400	15.92	800.0
630000	15.94	800.0
633600	15.96	800.0
637200	15.96	800.0
640800	15.78	800.0
644400	15.74	800.0
648000	15.8	800.0
651600	16.0	700.0
655200	16.0	700.0
658800	16.0	700.0
662400	16.0	1500.0
666000	16.0	750.0
669600	16.0	753.0
673200	16.0	700.0
676800	16.0	700.0
680400	16.0	800.0
684000	16.0	746.0
687600	15.88	800.0
691200	16.0	700.0
694800	16.0	700.0
698400	16.0	800.0
702000	15.58	800.0
705600	16.0	700.0
709200	16.0	1097.0
712800	16.0	866.0
716400	16.0	700.0
720000	15.94	800.0
723600	15.92	800.0
727200	15.98	800.0
730800	16.0	800.0
734400	16.0	800.0
738000	16.0	800.0
741600	16.0	700.0
745200	16.0	700.0
748800	16.0	700.0
752400	16.0	700.0
756000	16.0	700.0
759600	16.0	700.0
763200	16.0	700.0
766800	16.0	700.0
770400	16.0	700.0
774000	16.0	700.0
777600	16.0	767.0
781200	16.0	700.0
784800	16.0	700.0
788400	16.0	700.0
792000	16.0	700.0
795600	16.0	700.0
799200	16.0	700.0
802800	16.0	700.0
806400	16.0	700.0
810000	16.0	700.0
813600	16.0	700.0
817200	16.0	700.0
820800	16.0	700.0
824400	16.0	773.0
828000	16.0	700.0
831600	16.0	850.0
835200	17.0	1400.0
838800	17.0	1400.0
842400	16.0	1500.0
846000	17.0	1400.0
849600	17.0	1400.0
853200	16.0	752.0
856800	16.0	700.0
860400	16.0	700.0
864000	16.0	800.0
867600	15.92	800.0
871200	15.94	800.0
874800	15.98	800.0
878400	16.0	800.0
882000	16.0	800.0
885600	16.0	800.0
889200	16.0	800.0
892800	16.0	800.0
896400	16.0	800.0
900000	16.0	800.0
903600	16.0	800.0
907200	16.0	800.0
910800	16.0	800.0
914400	16.0	700.0
918000	16.0	740.0
921600	21.0	1398.0
925200	21.0	1497.0
928800	21.0	1401.0
932400	20.0	1432.0
936000	16.0	1500.0
939600	16.0	800.0
943200	16.0	700.0
946800	15.96	800.0
950400	15.98	800.0
954000	15.96	800.0
957600	15.96	800.0
961200	16.0	800.0
964800	16.0	800.0
968400	16.0	800.0
972000	16.0	800.0
975600	16.0	800.0
979200	16.0	800.0
982800	16.0	800.0
986400	16.0	800.0
990000	16.0	800.0
993600	16.0	800.0
997200	16.0	800.0
1000800	16.0	700.0
1004400	16.0	781.0
1008000	21.0	1400.0
1011600	21.0	1500.0
1015200	21.0	1398.0
1018800	20.0	1500.0
1022400	18.0	1300.0
1026000	16.0	700.0
1029600	16.0	1500.0
1033200	16.0	700.0
1036800	16.0	800.0
1040400	16.0	700.0
1044000	16.0	800.0
1047600	16.0	800.0
1051200	16.0	800.0
1054800	16.0	800.0
1058400	16.0	800.0
1062000	16.0	800.0
1065600	15.98	800.0
1069200	15.98	800.0
1072800	16.0	736.0
1076400	16.0	700.0
1080000	16.0	800.0
1083600	16.0	800.0
1087200	16.0	700.0
1090800	16.0	781.0
1094400	21.0	1400.0
1098000	21.0	1500.0
1101600	21.0	1398.0
1105200	20.0	1500.0
1108800	18.0	1300.0
1112400	16.0	800.0
1116000	20.0	1500.0
1119600	21.0	1299.0
1123200	19.0	1200.0
1126800	20.0	1200.0
1130400	18.0	1300.0
1134000	19.0	1200.0
1137600	16.0	1100.0
1141200	16.0	774.0
1144800	16.0	700.0
1148400	16.0	700.0
1152000	15.9	800.0
1155600	16.0	800.0
1159200	16.0	800.0
1162800	16.0	800.0
1166400	16.0	800.0
1170000	16.0	800.0
1173600	16.0	700.0
1177200	16.0	851.0
1180800	21.0	1400.0
1184400	21.0	1500.0
1188000	21.0	1495.0
1191600	20.0	1500.0
1195200	18.0	1300.0
1198800	16.0	700.0
1202400	16.0	888.0
1206000	16.0	700.0
1209600	15.42	800.0
1213200	15.72	800.0
1216800	15.92	800.0
1220400	16.0	700.0
1224000	18.0	1300.0
1227600	20.0	1300.0
1231200	17.0	1400.0
1234800	16.0	1079.0
1238400	16.0	782.0
1242000	16.0	1500.0
1245600	16.0	1097.0
1249200	16.0	744.0
1252800	15.78	800.0
1256400	16.0	700.0
1260000	16.0	700.0
1263600	16.0	890.0
1267200	21.0	1411.0
1270800	22.0	1200.0
1274400	21.0	1500.0
1278000	20.0	1500.0
1281600	18.04	1296.0
1285200	16.0	800.0
1288800	16.0	753.0
1292400	16.0	700.0
1296000	16.0	700.0
1299600	16.0	700.0
1303200	16.0	700.0
1306800	15.92	800.0
1310400	15.88	800.0
1314000	16.0	700.0
1317600	15.52	800.0
1321200	15.42	800.0
1324800	15.66	800.0
1328400	15.5	800.0
1332000	15.5	800.0
1335600	15.48	800.0
1339200	15.98	800.0
1342800	16.0	700.0
1346400	16.0	700.0
1350000	16.0	700.0
1353600	20.0	1500.0
1357200	21.0	1495.0
1360800	21.0	1495.0
1364400	20.0	1300.0
1368000	18.0	1300.0
1371600	16.0	800.0
1375200	16.0	700.0
1378800	16.0	800.0
1382400	15.72	800.0
1386000	15.92	800.0
1389600	15.98	800.0
1393200	15.98	800.0
1396800	15.98	800.0
1400400	15.98	800.0
1404000	16.0	800.0
1407600	16.0	800.0
1411200	16.0	800.0
1414800	16.0	800.0
1418400	16.0	800.0
1422000	15.98	800.0
1425600	15.98	800.0
1429200	16.0	700.0
1432800	16.0	700.0
1436400	16.0	752.0
1440000	18.0	1300.0
1443600	16.0	1088.0
1447200	16.0	700.0
1450800	16.0	700.0
1454400	16.0	800.0
1458000	16.0	800.0
1461600	18.0	1300.0
1465200	16.0	700.0
1468800	15.98	800.0
1472400	16.0	700.0
1476000	16.0	700.0
1479600	16.0	700.0
1483200	15.94	800.0
1486800	16.0	700.0
1490400	16.0	700.0
1494000	16.0	898.0
1497600	20.0	1500.0
1501200	16.0	700.0
1504800	16.0	700.0
1508400	18.0	1300.0
1512000	16.0	888.0
1515600	16.0	700.0
1519200	16.0	700.0
1522800	16.0	700.0
1526400	16.0	1004.0
1530000	16.0	700.0
1533600	16.0	700.0
1537200	16.0	700.0
1540800	16.0	700.0
1544400	16.0	700.0
1548000	16.0	800.0
1551600	16.0	700.0
1555200	16.0	700.0
1558800	16.0	700.0
1562400	16.0	700.0
1566000	16.0	800.0
1569600	15.98	800.0
1573200	15.98	800.0
1576800	16.0	800.0
1580400	16.0	700.0
1584000	16.0	800.0
1587600	16.0	700.0
1591200	16.0	700.0
1594800	16.0	700.0
1598400	16.0	800.0
1602000	16.0	700.0
1605600	16.0	700.0
1609200	16.0	700.0
1612800	18.0	1300.0
1616400	22.0	1200.0
1620000	21.0	1494.0
1623600	21.0	1299.0
1627200	18.0	1300.0
1630800	16.0	700.0
1634400	16.0	800.0
1638000	15.82	800.0
1641600	16.0	776.0
1645200	16.0	800.0
1648800	15.78	800.0
1652400	16.0	700.0
1656000	16.0	700.0
1659600	16.0	700.0
1663200	15.76	800.0
1666800	15.76	800.0
1670400	15.96	800.0
1674000	15.96	800.0
1677600	15.98	800.0
1681200	15.9	800.0
1684800	15.9	800.0
1688400	16.0	749.0
1692000	16.0	700.0
1695600	16.0	870.0
1699200	21.0	1496.0
1702800	22.0	1200.0
1706400	22.0	1201.0
1710000	21.0	1299.0
1713600	19.0	1200.0
1717200	16.0	700.0
1720800	16.0	700.0
1724400	15.58	800.0
1728000	16.0	800.0
1731600	15.52	800.0
1735200	15.72	800.0
1738800	15.74	800.0
1742400	16.0	800.0
1746000	15.98	800.0
1749600	15.98	800.0
1753200	15.92	800.0
1756800	16.0	800.0
1760400	16.0	800.0
1764000	16.0	800.0
1767600	16.0	802.0
1771200	15.98	800.0
1774800	16.0	700.0
1778400	16.0	700.0
1782000	16.0	860.0
1785600	17.0	1400.0
1789200	22.0	1200.0
1792800	20.0	1298.0
1796400	16.0	775.0
1800000	19.0	1200.0
1803600	16.0	700.0
1807200	16.0	700.0
1810800	15.42	800.0
1814400	15.68	800.0
1818000	15.88	800.0
1821600	15.96	800.0
1825200	15.92	800.0
1828800	15.92	800.0
1832400	16.0	800.0
1836000	16.0	800.0
1839600	16.0	800.0
1843200	16.0	800.0
1846800	16.0	800.0
1850400	16.0	800.0
1854000	16.0	800.0
1857600	16.0	800.0
1861200	16.0	725.0
1864800	16.0	700.0
1868400	16.0	1088.0
1872000	21.0	1500.0
1875600	22.0	1200.0
1879200	21.0	1495.0
1882800	19.0	1300.0
1886400	19.0	1200.0
1890000	16.0	700.0
1893600	16.0	800.0
1897200	18.0	1300.0
1900800	20.0	1200.0
1904400	20.0	1300.0
1908000	20.0	1200.0
1911600	16.0	864.0
1915200	16.0	1500.0
1918800	18.0	1300.0
1922400	19.0	1200.0
1926000	19.0	1300.0
1929600	17.0	1400.0
1933200	16.0	876.0
1936800	16.0	700.0
1940400	16.0	700.0
1944000	16.0	700.0
1947600	16.0	700.0
1951200	16.0	700.0
1954800	16.0	1100.0
1958400	21.0	1492.0
1962000	22.0	1299.0
1965600	22.0	1201.0
1969200	21.0	1299.0
1972800	19.0	1300.0
1976400	16.0	700.0
1980000	15.74	800.0
1983600	15.58	800.0
1987200	15.52	800.0
1990800	15.5	800.0
1994400	15.42	800.0
1998000	15.68	800.0
2001600	15.84	800.0
2005200	15.9	800.0
2008800	16.0	800.0
2012400	16.0	800.0
2016000	16.0	800.0
2019600	15.96	800.0
2023200	16.0	800.0
2026800	16.0	700.0
2030400	16.0	700.0
2034000	16.0	700.0
2037600	16.0	700.0
2041200	16.0	1094.0
2044800	21.0	1398.0
2048400	22.0	1202.0
2052000	21.0	1398.0
2055600	21.0	1300.0
2059200	19.0	1200.0
2062800	16.0	700.0
2066400	16.0	800.0
2070000	16.0	777.0
2073600	16.0	700.0
2077200	15.78	800.0
2080800	15.82	800.0
2084400	15.94	800.0
2088000	15.98	800.0
2091600	16.0	800.0
2095200	15.96	800.0
2098800	15.96	800.0
2102400	15.9	800.0
2106000	16.0	1100.0
2109600	18.0	1300.0
2113200	16.0	1097.0
2116800	16.0	700.0
2120400	16.0	700.0
2124000	16.0	800.0
2127600	16.0	700.0
2131200	16.0	700.0
2134800	16.0	700.0
2138400	16.0	700.0
2142000	16.0	700.0
2145600	16.0	700.0
2149200	16.0	800.0
2152800	16.0	744.0
2156400	16.0	700.0
2160000	16.0	840.0
2163600	16.0	700.0
2167200	16.0	800.0
2170800	16.0	800.0
2174400	16.0	800.0
2178000	16.0	800.0
2181600	16.0	800.0
2185200	16.0	800.0
2188800	16.0	800.0
2192400	16.0	800.0
2196000	16.0	800.0
2199600	15.98	800.0
2203200	16.0	800.0
2206800	16.0	725.0
2210400	16.0	700.0
2214000	16.0	700.0
2217600	16.0	700.0
2221200	16.0	700.0
2224800	16.0	700.0
2228400	16.0	700.0
2232000	16.0	700.0
2235600	16.0	700.0
2239200	16.0	800.0
2242800	16.0	800.0
2246400	16.0	729.0
2250000	16.0	800.0
2253600	16.0	800.0
2257200	15.9	800.0
2260800	15.9	800.0
2264400	16.0	800.0
2268000	16.0	800.0
2271600	16.0	800.0
2275200	15.92	800.0
2278800	15.92	800.0
2282400	15.92	800.0
2286000	16.0	800.0
2289600	16.0	800.0
2293200	16.0	700.0
2296800	16.0	700.0
2300400	16.0	700.0
2304000	16.0	1500.0
2307600	16.0	1500.0
2311200	19.0	1300.0
2314800	21.0	1400.0
2318400	16.0	1500.0
2322000	16.0	700.0
2325600	16.0	800.0
2329200	16.0	700.0
2332800	16.0	700.0
2336400	16.0	748.0
2340000	16.0	700.0
2343600	16.0	700.0
2347200	16.0	748.0
2350800	16.0	1100.0
2354400	16.0	1500.0
2358000	16.0	1500.0
2361600	16.0	747.0
2365200	16.0	700.0
2368800	16.0	700.0
2372400	16.0	700.0
2376000	16.0	800.0
2379600	16.0	700.0
2383200	16.0	700.0
2386800	19.0	1200.0
2390400	22.0	1200.0
2394000	22.0	1399.0
2397600	22.0	1299.0
2401200	21.0	1398.0
2404800	20.0	1200.0
2408400	16.0	700.0
2412000	16.0	753.0
2415600	16.0	700.0
2419200	15.52	800.0
2422800	15.68	800.0
2426400	16.0	800.0
2430000	15.92	800.0
2433600	15.96	800.0
2437200	16.0	800.0
2440800	16.0	800.0
2444400	16.0	800.0
2448000	16.0	800.0
2451600	16.0	800.0
2455200	16.0	800.0
2458800	16.0	800.0
2462400	16.0	800.0
2466000	16.0	700.0
2469600	16.0	700.0
2473200	19.0	1200.0
2476800	22.0	1201.0
2480400	22.0	1306.0
2484000	21.0	1397.0
2487600	21.0	1299.0
2491200	16.67	1433.0
2494800	16.0	700.0
2498400	16.0	800.0
2502000	15.82	800.0
2505600	15.98	800.0
2509200	15.98	800.0
2512800	16.0	800.0
2516400	16.0	800.0
2520000	16.0	800.0
2523600	16.0	800.0
2527200	15.98	800.0
2530800	15.98	800.0
2534400	16.0	800.0
2538000	16.0	800.0
2541600	16.0	800.0
2545200	16.0	700.0
2548800	16.0	800.0
2552400	16.0	800.0
2556000	16.0	700.0
2559600	17.0	1400.0
2563200	20.0	1500.0
2566800	22.0	1200.0
2570400	22.0	1300.0
2574000	21.0	1400.0
2577600	20.0	1200.0
2581200	16.0	700.0
2584800	16.0	757.0
2588400	16.0	700.0
2592000	16.0	700.0
2595600	16.0	800.0
2599200	16.0	800.0
2602800	16.0	700.0
2606400	16.0	700.0
2610000	16.0	700.0
2613600	16.0	800.0
2617200	16.0	800.0
2620800	15.92	800.0
2624400	15.94	800.0
2628000	16.0	800.0
2631600	15.92	800.0
2635200	15.98	800.0
2638800	16.0	700.0
2642400	16.0	700.0
2646000	20.0	1300.0
2649600	22.0	1299.0
2653200	22.0	1398.0
2656800	22.0	1396.0
2660400	21.0	1495.0
2664000	20.0	1200.0
2667600	16.0	700.0
2671200	16.0	700.0
2674800	15.96	800.0
2678400	15.44	800.0
2682000	15.78	800.0
2685600	15.78	800.0
2689200	15.96	800.0
2692800	15.98	800.0
2696400	15.96	800.0
2700000	15.96	800.0
2703600	15.98	800.0
2707200	16.0	800.0
2710800	16.0	800.0
2714400	16.0	800.0
2718000	16.0	800.0
2721600	16.0	800.0
2725200	16.0	700.0
2728800	16.0	700.0
2732400	20.0	1300.0
2736000	22.0	1296.0
2739600	22.0	1396.0
2743200	22.0	1299.0
2746800	21.0	1397.0
2750400	20.0	1200.0
2754000	16.0	700.0
2757600	16.0	753.0
2761200	16.0	1500.0
2764800	16.0	700.0
2768400	16.0	700.0
2772000	16.0	856.0
2775600	16.0	1500.0
2779200	17.0	1400.0
2782800	16.0	700.0
2786400	16.0	700.0
2790000	15.42	800.0
2793600	15.42	800.0
2797200	17.0	1400.0
2800800	16.0	1500.0
2804400	16.0	700.0
2808000	16.0	800.0
2811600	16.0	700.0
2815200	16.0	1100.0
2818800	16.0	700.0
2822400	16.0	700.0
2826000	16.0	882.0
2829600	16.0	700.0
2833200	16.0	700.0
2836800	16.0	700.0
2840400	16.0	800.0
2844000	16.0	700.0
2847600	16.0	700.0
2851200	16.0	800.0
2854800	16.0	800.0
2858400	16.0	800.0
2862000	16.0	700.0
2865600	16.0	759.0
2869200	16.0	800.0
2872800	15.98	800.0
2876400	15.9	800.0
2880000	15.92	800.0
2883600	15.92	800.0
2887200	15.96	800.0
2890800	15.98	800.0
2894400	16.0	800.0
2898000	16.0	700.0
2901600	16.0	700.0
2905200	16.0	732.0
2908800	16.0	1046.0
2912400	19.0	1300.0
2916000	21.0	1400.0
2919600	19.0	1200.0
2923200	19.0	1300.0
2926800	16.0	700.0
2930400	16.0	800.0
2934000	15.9	800.0
2937600	16.0	800.0
2941200	15.98	800.0
2944800	16.0	800.0
2948400	16.0	800.0
2952000	16.0	800.0
2955600	16.0	768.0
2959200	16.0	700.0
2962800	16.0	700.0
2966400	16.0	700.0
2970000	16.0	700.0
2973600	16.0	700.0
2977200	16.0	700.0
2980800	16.0	800.0
2984400	16.0	700.0
2988000	16.0	748.0
2991600	16.0	1500.0
2995200	19.0	1300.0
2998800	20.0	1300.0
3002400	20.0	1500.0
3006000	21.0	1400.0
3009600	16.0	1500.0
3013200	16.0	700.0
3016800	16.0	800.0
3020400	15.92	800.0
3024000	16.0	700.0
3027600	16.0	700.0
3031200	16.0	700.0
3034800	16.0	700.0
3038400	16.0	700.0
3042000	16.0	751.0
3045600	16.0	870.0
3049200	16.67	1433.0
3052800	17.0	1400.0
3056400	17.0	1400.0
3060000	16.0	1500.0
3063600	17.0	1400.0
3067200	16.0	800.0
3070800	16.0	700.0
3074400	16.0	700.0
3078000	16.0	700.0
3081600	16.0	700.0
3085200	16.0	700.0
3088800	16.0	700.0
3092400	16.0	700.0
3096000	16.0	700.0
3099600	16.0	700.0
3103200	16.0	700.0
3106800	16.0	1049.0
3110400	16.0	750.0
3114000	16.0	700.0
3117600	16.0	750.0
3121200	16.0	700.0
3124800	16.0	700.0
3128400	16.0	700.0
3132000	16.0	800.0
3135600	16.0	700.0
3139200	16.0	800.0
3142800	16.0	746.0
3146400	16.0	700.0
3150000	16.0	700.0
3153600	16.0	800.0
3157200	16.0	800.0
3160800	16.0	742.0
3164400	16.0	800.0
3168000	16.0	700.0
3171600	16.0	700.0
3175200	16.0	700.0
3178800	15.98	761.0
3182400	16.0	1494.0
3186000	16.0	700.0
3189600	16.0	700.0
3193200	15.85	800.0
3196800	15.9	800.0
3200400	15.9	800.0
3204000	15.94	800.0
3207600	15.92	800.0
3211200	16.0	800.0
3214800	16.0	800.0
3218400	16.0	800.0
3222000	16.0	700.0
3225600	16.0	700.0
3229200	16.0	700.0
3232800	16.0	800.0
3236400	16.0	700.0
3240000	16.0	700.0
3243600	16.0	700.0
3247200	16.0	700.0
3250800	16.0	749.0
3254400	16.0	884.0
3258000	16.0	1100.0
3261600	16.0	1500.0
3265200	16.0	700.0
3268800	16.0	744.0
3272400	16.0	745.0
3276000	16.0	800.0
3279600	16.0	1100.0
3283200	16.0	888.0
3286800	16.0	700.0
3290400	16.0	700.0
3294000	16.0	800.0
3297600	16.0	700.0
3301200	16.0	700.0
3304800	16.0	700.0
3308400	16.0	1500.0
3312000	16.0	848.0
3315600	16.0	700.0
3319200	16.0	700.0
3322800	16.0	874.0
3326400	15.82	800.0
3330000	16.0	700.0
3333600	16.0	753.0
3337200	21.0	1398.0
3340800	22.0	1399.0
3344400	22.4	1369.0
3348000	22.0	1498.0
3351600	22.0	1200.0
3355200	20.0	1500.0
3358800	16.0	700.0
3362400	16.0	800.0
3366000	20.0	1200.0
3369600	19.0	1300.0
3373200	16.0	1085.0
3376800	18.0	1300.0
3380400	16.0	1500.0
3384000	19.0	1300.0
3387600	20.0	1500.0
3391200	20.0	1300.0
3394800	20.0	1200.0
3398400	20.0	1200.0
3402000	20.0	1300.0
3405600	16.0	752.0
3409200	16.0	700.0
3412800	15.74	800.0
3416400	16.0	700.0
3420000	16.0	700.0
3423600	17.0	1400.0
3427200	21.0	1300.0
3430800	16.0	1100.0
3434400	19.0	1300.0
3438000	16.0	775.0
3441600	16.0	1500.0
3445200	16.0	700.0
3448800	16.0	800.0
3452400	16.0	800.0
3456000	15.98	800.0
3459600	16.0	800.0
3463200	16.0	800.0
3466800	16.0	800.0
3470400	16.0	800.0
3474000	16.0	800.0
3477600	16.0	800.0
3481200	16.0	800.0
3484800	15.98	800.0
3488400	15.98	800.0
3492000	15.98	800.0
